threshold,trades
0.5,2
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.5700000000000001,0
0.5800000000000001,0
0.5900000000000001,0
0.6000000000000001,0
0.6100000000000001,0
0.6200000000000001,0
0.6300000000000001,0
0.6400000000000001,0
0.6500000000000001,0
0.6600000000000001,0
0.6700000000000002,0
0.6800000000000002,0
0.6900000000000002,0
0.7000000000000002,0
0.7100000000000002,0
0.7200000000000002,0
0.7300000000000002,0
0.7400000000000002,0
0.7500000000000002,0
0.7600000000000002,0
0.7700000000000002,0
0.7800000000000002,0
0.7900000000000003,0
0.8000000000000003,0
0.8100000000000003,0
