Ticker,Preco,Entropy_Z,Hurst_Z,VolVol_Z,HalfLife,Estado
YDUQ3.SA,12.470000267028809,-3.3884705878914434,1.2803838370448204,0.1693542970993267,4.72279376017947,TENDÊNCIA
ALOS3.SA,28.020000457763672,-3.0866376236065207,0.7984291629357275,3.320232554898685,27.847428839113718,TÓXICO (Ficar Fora)
IGTI11.SA,25.06999969482422,-3.078450261533127,1.759600812466398,3.9061143410486827,11.41744901752889,TÓXICO (Ficar Fora)
MULT3.SA,27.399999618530273,-3.013515054180073,1.4103171102351428,5.181036884571275,6.475668545034088,TÓXICO (Ficar Fora)
AZUL4.SA,0.8399999737739563,-2.939494779782231,-1.8810974999370795,-0.3405494495674355,9.580125646012617,REVERSÃO (Sniper)
TOTS3.SA,43.209999084472656,-2.776105107869432,0.6720941713690126,0.28670054627470665,5.179154009924396,NORMAL
VBBR3.SA,25.100000381469727,-2.219509365524247,-1.3427655848081965,0.9036080922432692,34.30961849152067,NORMAL
RAIL3.SA,14.609999656677246,-2.206916103930731,-0.8666992071796141,-0.007945297059906932,2.7063051446271036,NORMAL
COGN3.SA,3.5799999237060547,-2.0788219951932114,1.8728239023275983,0.006382352038624889,10.04577626053369,TENDÊNCIA
DIRR3.SA,13.899999618530273,-1.9137393337578035,1.7607176395117716,3.7503663993762983,18.623665200234065,TÓXICO (Ficar Fora)
CYRE3.SA,30.0,-1.8689204681768308,0.6158714393098104,3.7432886646192105,15.419834770085277,TÓXICO (Ficar Fora)
ECOR3.SA,10.220000267028809,-1.7736374754639397,0.22264794193920698,0.6824754336701245,34.30961849152067,NORMAL
BBAS3.SA,21.5,-1.7636970547739377,-0.2876889469060899,0.051825204295668996,5.953359070172946,NORMAL
SUZB3.SA,51.5,-1.5959662959040382,-2.0387851219624284,0.22140883683017554,5.0968306521459805,REVERSÃO (Sniper)
GOAU4.SA,8.960000038146973,-1.487067790341711,-1.221157712281045,-0.7154257239741008,24.545364879391478,REVERSÃO (Sniper)
LWSA3.SA,4.21999979019165,-1.464809097614869,0.28260227210253624,0.9056342480668701,5.861780267224178,NORMAL
B3SA3.SA,13.420000076293945,-1.4241468587176733,-0.21382071569183234,0.2153312063247758,12.550144977535979,NORMAL
HYPE3.SA,22.969999313354492,-1.3830029533131554,1.5278389551252993,1.090956685704141,15.589399442773027,TENDÊNCIA
MRVE3.SA,7.869999885559082,-1.3652429762775167,1.2257208851989074,-0.42921998670535577,23.206036363354123,TENDÊNCIA
EZTC3.SA,13.779999732971191,-1.316196541718367,1.4584015589285741,0.9088644888177376,20.878189559956034,TENDÊNCIA
BPAC11.SA,52.630001068115234,-1.2533301769448293,-0.7190991562600273,1.3485450717247305,11.088124771859059,NORMAL
CMIG4.SA,11.010000228881836,-1.2278688930385129,0.16355112500451932,1.0323406329184541,6.08292590614301,NORMAL
IRBR3.SA,54.060001373291016,-1.10411904553788,0.7727429101575736,0.9804600112478803,5.888499749798481,NORMAL
BRAP4.SA,20.34000015258789,-1.0944502849496909,-0.05697149437788914,-0.8971513962973882,1000.0,NORMAL
ENEV3.SA,20.200000762939453,-0.998086732566011,0.8431516601998784,0.8971534298841226,29.196028854834516,NORMAL
ITSA4.SA,11.539999961853027,-0.9071494953375516,0.5511802203229405,2.532903525446238,27.652939716091055,NORMAL
BBDC3.SA,15.890000343322754,-0.9014735237284249,0.4496900570642268,0.3114644609251804,10.494541351088076,NORMAL
CVCB3.SA,2.009999990463257,-0.8843784090566066,0.9015389597375809,0.7247887747468482,3.651154127152604,NORMAL
UGPA3.SA,20.600000381469727,-0.8166645374521123,-0.7122119370842228,0.9675788415340099,2.3607422812435592,NORMAL
CPLE6.SA,14.260000228881836,-0.8132343432740742,3.042153173745077,-0.42211679998844925,1000.0,TENDÊNCIA
VALE3.SA,70.68000030517578,-0.7790313234197205,-0.2758601250430579,-0.5763934121207088,1000.0,NORMAL
ENGI11.SA,47.7400016784668,-0.7764814355227904,1.367079490047305,2.973341624651223,9.17807236730792,TENDÊNCIA
MGLU3.SA,9.420000076293945,-0.7554101790644709,1.6589738751234786,-1.3070186008367015,6.092069818688155,TENDÊNCIA
ITUB4.SA,39.779998779296875,-0.7483718083581424,-0.3260371838917976,2.1069191609473283,21.34184750686652,NORMAL
PETR3.SA,32.63999938964844,-0.6692003745174637,1.5490528038569,-1.2256597286117767,6.505311341272524,TENDÊNCIA
SMFT3.SA,23.110000610351562,-0.6475880552521748,0.06819772109730676,1.6271023387747057,2.2307988380544077,NORMAL
BBDC4.SA,18.6200008392334,-0.6117934486022149,-0.16561533728981137,0.14951049885727707,9.401260492250422,NORMAL
HAPV3.SA,14.300000190734863,-0.5401335971955153,-0.06499036448598598,2.329285278973724,34.30961849152067,NORMAL
VIVT3.SA,32.939998626708984,-0.5394565849107856,0.8732591175028788,0.32506679517066656,3.716223719396371,NORMAL
AURE3.SA,12.149999618530273,-0.5261249777822846,1.1647978691954686,-0.10242067718620582,11.882622934987529,TENDÊNCIA
KLBN11.SA,18.360000610351562,-0.5167827659562898,0.5981463091369287,-1.2610895340062755,34.30961849152067,NORMAL
PRIO3.SA,38.72999954223633,-0.5139561743357844,0.7522346484426283,-0.8947369608859902,7.921237438282356,NORMAL
EGIE3.SA,30.780000686645508,-0.39860504985188544,-0.13749759657549296,0.39860537148615766,8.600010394792656,NORMAL
RAIZ4.SA,0.8299999833106995,-0.38293767290981884,0.28128786463323535,-0.3823353620169713,6.185163508588787,NORMAL
