fold,best_expectancy,threshold,trades
1,0.00037950972050484685,0.5,889.0
2,0.01846127970856671,0.6000000000000001,15.0
3,0.018674004360174933,0.6000000000000001,31.0
4,0.07177647306071638,0.55,38.0
