threshold,trades,win_rate,avg_win,avg_loss,payoff,expectancy,total_pnl,mean_net,std_net,mdd,mean_boot,boot_lower,boot_upper,kelly
0.5,119,0.6134453781512605,0.07792851778589505,0.06553578969273488,1.1890986307064213,0.02247172665970197,2.674135472504534,0.022471726659701964,0.08535689466676674,0.8361302374046888,0.02242492911920933,0.006706147197435786,0.03777675367696487,0.2883633270357071
0.51,94,0.6702127659574468,0.07838647277533138,0.05939287954682436,1.3197957966246239,0.03294860126483322,3.0971685188943217,0.03294860126483321,0.08063306415791867,1.4457893641724575,0.03292041209686637,0.016973573074032054,0.04934311955134362,0.42033529636254163
0.52,79,0.7468354430379747,0.07815097420681236,0.04256894581452539,1.835868206540028,0.047588969138119254,3.759528561911421,0.047588969138119254,0.06989970156682156,0.5854209626638229,0.04749991883829683,0.032551615224959564,0.06307264750728102,0.6089363519920262
0.53,60,0.8166666666666667,0.07496295525360963,0.048469236018853265,1.5466089711925932,0.052333720186991436,3.1400232112194866,0.05233372018699144,0.06774065556810271,0.2120985937793266,0.05211649617346325,0.03488620801441236,0.06872821770422728,0.6981277620384563
0.54,47,0.9148936170212766,0.07822300407741282,0.04574876668984931,1.7098385319919205,0.0676722150759437,3.180594108569355,0.06767221507594372,0.06118901005931059,0.21202036213046052,0.06730887803996571,0.04970627348563908,0.08404135442786057,0.8651191024186746
0.55,38,0.9210526315789473,0.08188458460469146,0.04615149495232603,1.7742563851783633,0.07177647306071638,2.727505976307223,0.0717764730607164,0.058663579854165926,0.2359878159264345,0.07207374052861278,0.05380636494075787,0.08969676514676572,0.8765565998438741
0.56,28,0.9285714285714286,0.07893552312246443,0.05287315357938442,1.492922547242234,0.06952061764376095,1.9465772940253068,0.06952061764376095,0.05760622097309391,0.2556490840502974,0.06965139627916181,0.0477619040581835,0.09032892670473097,0.8807266347738427
0.5700000000000001,8,,,,,,,,,,,,,
0.5800000000000001,1,,,,,,,,,,,,,
0.5900000000000001,0,,,,,,,,,,,,,
0.6000000000000001,0,,,,,,,,,,,,,
0.6100000000000001,0,,,,,,,,,,,,,
0.6200000000000001,0,,,,,,,,,,,,,
0.6300000000000001,0,,,,,,,,,,,,,
0.6400000000000001,0,,,,,,,,,,,,,
0.6500000000000001,0,,,,,,,,,,,,,
0.6600000000000001,0,,,,,,,,,,,,,
0.6700000000000002,0,,,,,,,,,,,,,
0.6800000000000002,0,,,,,,,,,,,,,
0.6900000000000002,0,,,,,,,,,,,,,
0.7000000000000002,0,,,,,,,,,,,,,
0.7100000000000002,0,,,,,,,,,,,,,
0.7200000000000002,0,,,,,,,,,,,,,
0.7300000000000002,0,,,,,,,,,,,,,
0.7400000000000002,0,,,,,,,,,,,,,
0.7500000000000002,0,,,,,,,,,,,,,
0.7600000000000002,0,,,,,,,,,,,,,
0.7700000000000002,0,,,,,,,,,,,,,
0.7800000000000002,0,,,,,,,,,,,,,
0.7900000000000003,0,,,,,,,,,,,,,
0.8000000000000003,0,,,,,,,,,,,,,
0.8100000000000003,0,,,,,,,,,,,,,
