Ticker,Preco,Entropy_Atual,Entropy_Media,Entropy_Z,Vol_Diaria_Atual,VolVol_Z,Hurst_Z,Estado
MULT3.SA,27.979999542236328,1.9833830982290137,2.8922127635680845,-5.069144041794905,2.278345908655478,-2.1483353055536156,0.6385364970629069,ESTÁVEL (Oportunidade)
IGTI11.SA,25.260000228881836,2.1211274733371868,2.8697340067370622,-3.9530966466070345,2.260142872162559,-0.6706044739476145,0.45950596919452424,ESTÁVEL (Oportunidade)
ITSA4.SA,12.359999656677246,1.9833830982290135,2.8144084598391474,-3.526485801668179,1.7478482231898216,-0.2800428147232234,-0.8864202859468963,ESTÁVEL (Oportunidade)
DIRR3.SA,17.110000610351562,2.1149798205164814,2.8418083738857116,-3.458728835637916,2.4504868627306933,-0.9781513097902801,0.88393822669546,ESTÁVEL (Oportunidade)
VBBR3.SA,24.6200008392334,2.2854752972273342,2.886919876004183,-3.4527356811429133,1.6555260232083497,-1.0012668430670149,1.0243036390183624,ESTÁVEL (Oportunidade)
CYRE3.SA,34.5,2.2588718484453603,2.8048548345422435,-3.1789743529729932,3.1118736319426232,-0.36540441916320576,0.4062406471095359,ESTÁVEL (Oportunidade)
YDUQ3.SA,12.75,2.221928094887362,2.8124916638967883,-2.990533258312853,3.4454538052489587,-0.7096377308206326,0.11400016427339202,ESTÁVEL (Oportunidade)
HYPE3.SA,25.350000381469727,2.2464393446710154,2.807351856198037,-2.715193158618528,2.311616171236023,0.2212979247256806,-1.1530278104106166,ESTÁVEL (Oportunidade)
EQTL3.SA,39.2400016784668,2.490468570732828,2.9492229656016598,-2.424360868561339,1.6272601179983126,-0.7710935574389695,0.1838990156388973,ESTÁVEL (Oportunidade)
LWSA3.SA,4.320000171661377,2.3282129458410017,2.7669937509990024,-2.221190611921084,3.428409504836015,0.9500411109598028,1.1271230495332425,ESTÁVEL (Oportunidade)
HAPV3.SA,14.470000267028809,1.675143246409987,2.6990280132393045,-2.1346198509355245,9.967327729684742,-1.4821010391627327,1.170521291265812,ESTÁVEL (Oportunidade)
TAEE11.SA,41.209999084472656,2.490468570732828,2.9151928682822974,-2.0825179281839277,2.0690105847952154,-0.49608511077956813,1.3729220246916292,ESTÁVEL (Oportunidade)
TOTS3.SA,45.90999984741211,2.4659573209491747,2.8713583488000456,-1.968767802400475,2.7419228384050527,-0.8722344898238834,0.36018043017865675,ESTÁVEL (Oportunidade)
ECOR3.SA,10.399999618530273,2.408694969562842,2.8494651726672977,-1.9335593538819618,3.107753206320858,-0.5418212051276841,1.2244845354840375,ESTÁVEL (Oportunidade)
RAIL3.SA,16.1200008392334,2.321928094887362,2.8385352007984825,-1.8709863665923516,3.44042698196712,-0.5766722607068193,-0.31661856470636707,ESTÁVEL (Oportunidade)
