threshold,trades,win_rate,avg_win,avg_loss,payoff,expectancy,net_mean_return,mean_boot,boot_lower,boot_upper
0.45,7339,0.48875868646954623,0.034893267346737165,0.03318779357042868,1.0513885857669103,8.74163368984604e-05,8.741633689845949e-05,0.00011456770234618219,-0.0010122898678629315,0.0012012521989566856
0.46,6722,0.4848259446593276,0.03512231661056153,0.033551067447016,1.0468315699948105,-0.0002564291483481626,-0.00025642914834816456,-0.00022265769408893793,-0.0013490241973571977,0.0009960013012578468
0.47000000000000003,6111,0.4819178530518737,0.03473864080445704,0.033706828343517146,1.030611377920947,-0.0007217348005971666,-0.0007217348005971717,-0.0007233774086288805,-0.0019770862614512143,0.000433793176385928
0.48000000000000004,5456,0.4805718475073314,0.0352240963490031,0.03425758107276596,1.0282131792721787,-0.0008666429862779698,-0.0008666429862779681,-0.0008575131782863944,-0.002133529884557001,0.00044241621307850807
0.49000000000000005,4648,0.4806368330464716,0.03586632054574989,0.03494725985090144,1.0262985051981048,-0.0009116448323732394,-0.0009116448323732406,-0.0009224820291804077,-0.002341919169545814,0.0005264467389381024
0.5,3839,0.47720760614743424,0.03550991396426469,0.03552383478275407,0.9996081273721008,-0.0016259895875109405,-0.0016259895875109418,-0.0016032531893081172,-0.0031426661394765476,-1.739333966193753e-05
0.51,2999,0.4794931643881294,0.035649712837495365,0.03545693938211429,1.0054368329229881,-0.0013617857002874538,-0.0013617857002874536,-0.0013355772393073976,-0.0032385990870101035,0.0005416567840817135
0.52,2331,0.48176748176748174,0.03591473876910462,0.035888353279006226,1.0007352103868703,-0.0012959584398691722,-0.0012959584398691713,-0.0012794642535448619,-0.0033928715229083685,0.0007457880690150898
0.53,1778,0.4881889763779528,0.037332560795917145,0.03431830981839798,1.0878321512181008,0.0006608553633936573,0.0006608553633936569,0.0006706550069132124,-0.0018191128971784846,0.0030281957042749604
0.54,1325,0.48,0.0380583850546145,0.03418809715628596,1.11320571252141,0.0004902143049462585,0.0004902143049462657,0.0005085735534091986,-0.0022806043965359103,0.0033804527869512905
0.55,958,0.48434237995824636,0.037804586137373544,0.03384771314050031,1.1169022255786805,0.0008565320212256533,0.0008565320212256516,0.0008503689540352793,-0.0025865364774672497,0.00418903378207177
0.56,671,0.46646795827123694,0.034886941682828354,0.034344001586126514,1.0158088769982228,-0.002049984830265302,-0.002049984830265304,-0.00201019021486754,-0.005931211414082433,0.0020342914086755367
0.5700000000000001,449,0.4766146993318486,0.03768753417964073,0.031720975700938576,1.188095048997046,0.0013601403668653672,0.0013601403668653672,0.0013294623569951019,-0.0037234894621318323,0.006431101298408041
0.5800000000000001,307,0.498371335504886,0.03920006273087834,0.03051567458911714,1.2845877818102807,0.004228650524756829,0.004228650524756827,0.004329688286925588,-0.0021419184658110963,0.010427085853023817
0.5900000000000001,202,0.5,0.039149190850306284,0.02758266010228428,1.4193406547856533,0.005783265374011002,0.005783265374011003,0.005914775994344426,-0.0009100692890039407,0.012804436313057542
0.6000000000000001,125,0.472,0.03109949806856101,0.025049190259102096,1.241537061552735,0.0014529906315548877,0.0014529906315548916,0.0014103220842843491,-0.00494845065402156,0.007778984634981024
0.6100000000000001,67,0.43283582089552236,0.0351645551117318,0.021508740496194535,1.6348960608806145,0.00302149193111686,0.0030214919311168605,0.002920584395154424,-0.004991458998631106,0.011768617263598272
0.6200000000000001,30,0.43333333333333335,0.04351353816775123,0.02728767948982118,1.5946221511427017,0.0033928481617935304,0.003392848161793527,0.003380781880855641,-0.011424354093040798,0.019049216678656104
0.6300000000000001,13,0.6153846153846154,0.04467533923190423,0.030816890906411647,1.4497030011099936,0.015639866101782744,0.015639866101782744,0.015239390952643476,-0.00819908345292236,0.036831634994687806
0.6400000000000001,8,,,,,,,,,
0.6500000000000001,4,,,,,,,,,
0.6600000000000001,4,,,,,,,,,
0.6700000000000002,4,,,,,,,,,
0.6800000000000002,4,,,,,,,,,
0.6900000000000002,3,,,,,,,,,
0.7000000000000002,3,,,,,,,,,
0.7100000000000002,3,,,,,,,,,
0.7200000000000002,2,,,,,,,,,
0.7300000000000002,1,,,,,,,,,
0.7400000000000002,0,,,,,,,,,
0.7500000000000002,0,,,,,,,,,
0.7600000000000002,0,,,,,,,,,
0.7700000000000002,0,,,,,,,,,
0.7800000000000002,0,,,,,,,,,
0.7900000000000003,0,,,,,,,,,
0.8000000000000003,0,,,,,,,,,
0.8100000000000003,0,,,,,,,,,
0.8200000000000003,0,,,,,,,,,
0.8300000000000003,0,,,,,,,,,
0.8400000000000003,0,,,,,,,,,
0.8500000000000003,0,,,,,,,,,
