Ticker,Best BB Dev,Sharpe Medio,Sharpe Std Dev,Pct Parametros Positivos (%),Fator de Estabilidade,Num Parametros Testados
SAP,"(np.int64(200), np.float64(0.35))",0.2133,0.0859,100.0000,2.4834,13
MULT3.SA,"(np.int64(200), np.float64(0.35))",0.3265,0.1315,92.3077,2.4822,13
AAPL,"(np.int64(200), np.float64(0.49999999999999994))",0.1685,0.0727,100.0000,2.3185,13
CRM,"(np.int64(200), np.float64(0.3))",0.3974,0.1737,100.0000,2.2878,13
ENEV3.SA,"(np.int64(200), np.float64(0.6499999999999999))",0.2118,0.0939,100.0000,2.2548,13
EWZ,"(np.int64(200), np.float64(0.7499999999999998))",0.3352,0.1493,100.0000,2.2449,13
EURGBP=X,"(np.int64(200), np.float64(0.7999999999999998))",0.1072,0.0483,92.3077,2.2190,13
^GSPC,"(np.int64(200), np.float64(0.6499999999999999))",0.1593,0.0755,100.0000,2.1112,13
CSCO,"(np.int64(200), np.float64(0.6499999999999999))",0.1868,0.0894,92.3077,2.0899,13
RADL3.SA,"(np.int64(200), np.float64(0.25))",0.1682,0.0819,100.0000,2.0546,13
CSNA3.SA,"(np.int64(200), np.float64(0.7499999999999998))",0.1634,0.0811,92.3077,2.0158,13
IBM,"(np.int64(200), np.float64(0.7))",0.2073,0.1038,100.0000,1.9976,13
XRP-USD,"(np.int64(200), np.float64(0.7))",0.4388,0.2262,92.3077,1.9399,13
GOAU4.SA,"(np.int64(200), np.float64(0.7))",0.1957,0.1093,92.3077,1.7902,13
AMD,"(np.int64(200), np.float64(0.49999999999999994))",0.1668,0.0934,100.0000,1.7862,13
CSAN3.SA,"(np.int64(200), np.float64(0.44999999999999996))",0.2064,0.1187,92.3077,1.7389,13
NFLX,"(np.int64(200), np.float64(0.5999999999999999))",0.3189,0.1838,92.3077,1.7350,13
CPFE3.SA,"(np.int64(200), np.float64(0.7499999999999998))",0.1903,0.1119,92.3077,1.7010,13
EQTL3.SA,"(np.int64(200), np.float64(0.7499999999999998))",0.3113,0.1836,92.3077,1.6959,13
^HSI,"(np.int64(200), np.float64(0.25))",0.1650,0.1008,100.0000,1.6372,13
USDCAD=X,"(np.int64(200), np.float64(0.5999999999999999))",0.1140,0.0705,84.6154,1.6167,13
LREN3.SA,"(np.int64(200), np.float64(0.7999999999999998))",0.1430,0.0959,100.0000,1.4913,13
AVGO,"(np.int64(200), np.float64(0.7999999999999998))",0.1859,0.1282,92.3077,1.4500,13
HG=F,"(np.int64(200), np.float64(0.44999999999999996))",0.1046,0.0750,84.6154,1.3952,13
BNB-USD,"(np.int64(200), np.float64(0.2))",0.2729,0.2184,92.3077,1.2494,13
