Ticker,Retorno Total (%),Lucro Líquido (Cash),Total de Trades,Win Rate (%),Sharpe Ratio,Max Drawdown (%),Trades por Ano
EMBR3.SA,-59.48,-59476.43,16,6.25,-0.28,59.86,0.62
RDOR3.SA,-15.17,-15173.32,4,25.00,-0.29,25.23,0.80
CMIG4.SA,-58.53,-58532.38,21,9.52,-0.29,68.20,0.81
AMD,-87.05,-87052.54,37,5.41,-0.30,89.51,0.81
ELET6.SA,-51.69,-51689.47,14,14.29,-0.30,66.57,0.78
GOOGL,-38.75,-38745.01,10,10.00,-0.30,41.29,0.47
QCOM,-72.79,-72789.65,20,5.00,-0.31,72.79,0.59
PCAR3.SA,-133.02,-133017.96,2,0.00,-0.32,454.60,0.08
SUZB3.SA,-12.43,-12430.53,2,0.00,-0.35,14.61,0.09
SOL-USD,-40.09,-40092.78,7,0.00,-0.36,44.55,1.24
MU,-91.03,-91027.72,36,2.78,-0.36,92.21,0.87
GBPUSD=X,-23.94,-23937.62,16,13.33,-0.37,31.71,0.73
MGLU3.SA,-59.14,-59144.69,14,0.00,-0.39,71.28,0.96
BPAC11.SA,-18.77,-18769.35,3,0.00,-0.41,20.08,0.34
EZTC3.SA,-53.75,-53753.33,13,7.69,-0.41,53.75,0.70
ADA-USD,-86.74,-86744.72,34,2.94,-0.41,87.04,4.21
ALOS3.SA,-23.36,-23364.34,4,0.00,-0.44,26.57,0.63
USDCHF=X,-20.74,-20740.30,8,12.50,-0.45,22.29,0.36
EURUSD=X,-26.04,-26043.99,9,0.00,-0.47,26.68,0.41
COGN3.SA,-53.30,-53302.36,16,6.25,-0.47,56.93,1.17
ASML,-75.17,-75167.33,19,0.00,-0.50,75.93,0.62
AURE3.SA,-12.06,-12064.43,2,0.00,-0.54,14.39,0.54
VBBR3.SA,-29.25,-29246.49,6,16.67,-0.54,29.50,0.78
UGPA3.SA,-94.82,-94819.01,25,0.00,-0.55,94.82,1.09
IRBR3.SA,-61.77,-61772.72,9,0.00,-0.55,61.77,1.08
AVAX-USD,-71.41,-71407.92,15,0.00,-0.58,79.86,2.78
YDUQ3.SA,-74.85,-74854.40,17,0.00,-0.60,75.06,0.98
BEEF3.SA,-76.46,-76457.87,22,4.55,-0.68,82.09,1.20
TOTS3.SA,-53.05,-53053.99,8,0.00,-0.68,53.05,0.41
BTC-USD,-86.04,-86037.13,27,0.00,-0.69,89.36,2.41
GGBR4.SA,-94.75,-94747.37,30,0.00,-0.71,95.99,1.16
ETH-USD,-68.78,-68777.64,15,6.67,-0.75,68.78,1.86
RECV3.SA,-26.90,-26895.27,2,0.00,-0.80,28.00,0.44
DOGE-USD,-76.93,-76930.76,12,0.00,-0.85,79.86,1.49
SHIB-USD,-41.67,-41666.05,5,0.00,-0.88,46.08,1.08
ECOR3.SA,-51.29,-51285.30,12,8.33,-0.90,51.29,0.77
ASAI3.SA,-22.27,-22265.24,5,0.00,-0.98,22.27,1.05
CXSE3.SA,-14.10,-14097.45,2,0.00,-1.03,14.10,0.43
GOAU4.SA,-96.43,-96427.87,44,0.00,-1.13,96.53,1.70
