Year,Muito Barato (<-2.5),Barato (-2.5 a -1.5),Leve Desc (-1.5 a -0.5),Neutro,Leve Premio (0.5 a 1.5),Caro (1.5 a 2.5),Muito Caro (>2.5)
2022,,-13.821936172931192,-4.035794010185744,-7.928313269040461,-5.634432605375342,,
2023,,2.744184896108669,17.908922394303833,8.001883187805543,-1.4843965203624905,-24.73379554949064,-43.3009718614103
2024,-14.898280039679483,-8.551881926283908,-0.08728566167972078,-0.2686158891668803,-2.9810794615854777,-9.914611282929718,
2025,-3.471473437568362,-3.660786738634874,-10.022564770362166,2.5538667673385027,-5.211198873481828,-10.290115593092096,-8.722124798055313
