Year,Muito Barato (<-2.5),Barato (-2.5 a -1.5),Leve Desc (-1.5 a -0.5),Neutro,Leve Premio (0.5 a 1.5),Caro (1.5 a 2.5),Muito Caro (>2.5)
2022,-4.446985509755574,-0.24980995443144643,-2.6675865716664764,-20.42880177439215,-27.848103751786724,,-16.162752892878586
2023,29.429464735481258,8.044568840463194,0.622510370777993,2.4473525806409664,-3.5304783131944073,5.026250356527748,-0.6319604371055054
2024,,2.1298300588894326,-5.444121180144468,-9.774854958421823,-0.9073986466828036,-3.485617224625532,
2025,0.04506930261873432,3.427968906237877,1.9653839073761317,-0.4922486162266013,0.5964450346751556,2.6525178623611945,
