z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),11,3.060067677903637,2.819374348365744,0.03127025043447756,81.81818181818183,5
Barato (-2.5 a -1.5),31,2.346865472264584,3.598974002136446,0.04974677100075393,64.51612903225806,5
Leve Desc (-1.5 a -0.5),82,2.3225557145385616,3.3053388913816595,0.058392661791021136,70.73170731707317,5
Neutro,216,1.8157169435048586,1.5978925257954968,0.05713508970583392,62.03703703703704,5
Leve Premio (0.5 a 1.5),312,1.1755903082982249,0.9540989756442353,0.06009973365023088,59.93589743589743,5
Caro (1.5 a 2.5),239,0.17704823748141707,-0.1797036288354814,0.050853161334500206,47.950819672131146,5
Muito Caro (>2.5),27,-0.8991339301650574,-1.370376035863441,0.06128248853754201,48.148148148148145,5
Muito Barato (<-2.5),11,2.2234744371684814,4.605842002042837,0.05034030613599775,63.63636363636363,10
Barato (-2.5 a -1.5),31,2.014620682365318,3.0185734575316703,0.052026218285902676,64.51612903225806,10
Leve Desc (-1.5 a -0.5),82,4.341424926213288,4.567888761087868,0.08414709682182425,73.17073170731707,10
Neutro,216,4.068132991376181,4.206008467740496,0.07145493836438097,69.44444444444444,10
Leve Premio (0.5 a 1.5),310,2.0853146043147346,1.9735123191590542,0.08427325006517632,58.97435897435898,10
Caro (1.5 a 2.5),236,0.8130045759512067,-0.1954660114098561,0.07122110268924527,47.13114754098361,10
Muito Caro (>2.5),27,-1.40998131669021,-2.6247862447154935,0.09263212428419372,33.33333333333333,10
Muito Barato (<-2.5),11,-1.2582440429539739,-0.8810597606823678,0.051312344686156176,36.36363636363637,20
Barato (-2.5 a -1.5),31,5.389680507847359,2.5316447507171214,0.13153295369214227,61.29032258064516,20
Leve Desc (-1.5 a -0.5),82,8.712191553626061,9.811654202488562,0.10567592056959663,78.04878048780488,20
Neutro,216,7.238997060183946,6.307313563128714,0.10075599879104785,75.0,20
Leve Premio (0.5 a 1.5),303,4.9900472821896305,4.9731105943062515,0.11912657095087677,60.89743589743589,20
Caro (1.5 a 2.5),233,1.1951381047119694,0.47347863266218315,0.09181742103573069,49.59016393442623,20
Muito Caro (>2.5),27,-0.4775942805108607,-5.604218670860906,0.14609831289599728,25.925925925925924,20
Muito Barato (<-2.5),11,4.55528417004378,-1.2366030782356874,0.163308666270993,45.45454545454545,40
Barato (-2.5 a -1.5),31,12.756647057980109,20.278508874717115,0.17044588220449147,67.74193548387096,40
Leve Desc (-1.5 a -0.5),82,14.571161498127386,13.516492241792422,0.14379237441136952,87.8048780487805,40
Neutro,216,9.487215979980192,8.570239306834516,0.12293516682697879,77.31481481481481,40
Leve Premio (0.5 a 1.5),300,10.685174789794281,12.165967067580773,0.1314244889835008,73.71794871794873,40
Caro (1.5 a 2.5),216,6.828544447325082,6.197139961908881,0.1319380772643617,63.52459016393443,40
Muito Caro (>2.5),27,3.2018344880015066,-5.020911141002371,0.16887457408866557,29.629629629629626,40
