Year,Muito Barato (<-2.5),Barato (-2.5 a -1.5),Leve Desc (-1.5 a -0.5),Neutro,Leve Premio (0.5 a 1.5),Caro (1.5 a 2.5),Muito Caro (>2.5)
2022,-11.297235082341517,3.6710577057036993,3.126626658319277,-2.4914711187329535,2.4535607152151586,-3.6050199490062336,-3.624420243882004
2023,3.4114149160328067,4.040589044147907,2.9579699097116583,5.159881546355203,0.4881051705097353,2.899226124276,-0.8554388250357724
2024,2.7101744250374873,5.222294331156691,3.002908108587678,-0.6001314794328895,-1.3385321211000591,-1.159414287545933,0.12304237200842505
2025,,11.723339875540727,9.930720153359541,8.884873417903778,3.961620172152606,3.050604525546924,4.8410286518708485
