Year,Muito Barato (<-2.5),Barato (-2.5 a -1.5),Leve Desc (-1.5 a -0.5),Neutro,Leve Premio (0.5 a 1.5),Caro (1.5 a 2.5),Muito Caro (>2.5)
2022,,-0.22977972384983456,-0.13665577028037007,7.656716459900255,-29.197062804932543,-28.73836340566539,
2023,27.147763778678602,13.23096665233921,1.3318134091173244,-2.1792778228312675,-1.3211895170618488,14.785532208947771,0.8633637439567377
2024,-2.175082723926658,-2.2208001518871,-5.523422277653429,-8.074523454545748,-14.33873869341498,-14.650683992505769,
2025,17.725255725937384,9.28806723079927,1.6930069197001179,1.8982077327352669,-2.680957581027065,-6.474548271675157,-11.717366055272507
