z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate
Muito Barato (<-2.5),24,-2.2433052868014367,-5.686614094599052,0.0793447249662785,41.66666666666667
Barato (-2.5 a -1.5),127,-3.000551630965988,-3.098291085952776,0.0801560909294604,38.582677165354326
Leve Desc (-1.5 a -0.5),233,-0.9002161832868909,-2.029138686386134,0.0884285004218916,38.034188034188034
Neutro,180,-0.4386782856412222,-1.290593296238124,0.0736400952339837,43.91534391534391
Leve Premio (0.5 a 1.5),195,0.6249271539446046,0.8947076562580758,0.0637438133700141,53.84615384615385
Caro (1.5 a 2.5),135,1.6387110600435817,0.0,0.0767344321361552,49.629629629629626
Muito Caro (>2.5),20,2.073726224164445,2.161440454710095,0.0535939942327845,70.0
