z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate
Muito Barato (<-2.5),7,0.9698423820765644,2.499988997263402,0.0274712256401077,57.14285714285714
Barato (-2.5 a -1.5),108,0.7863421369795734,0.4548040234947592,0.0336379134383626,55.55555555555556
Leve Desc (-1.5 a -0.5),203,-0.2151350570345549,-1.0471236185127577,0.0429236034005863,40.39408866995074
Neutro,200,1.412763002053339,0.4104774395700561,0.0538497972196267,56.00000000000001
Leve Premio (0.5 a 1.5),285,-0.0101254277244558,-0.0772751169089036,0.0328743194782171,45.73378839590443
Caro (1.5 a 2.5),95,-1.2926716105736,-1.0981384285977391,0.0383673685094472,38.144329896907216
Muito Caro (>2.5),16,0.1199732864172707,-0.5628259526928747,0.0742217236698143,43.75
Muito Barato (<-2.5),18,0.8684025773729034,0.6287688828648497,0.0511383300406378,61.11111111111112
Barato (-2.5 a -1.5),69,0.0212184720795723,-0.4504540272181723,0.0506124546714645,46.3768115942029
Leve Desc (-1.5 a -0.5),164,-0.5755466271133636,-0.5632546497462199,0.0568022231185086,45.1219512195122
Neutro,192,0.2462139569761488,-0.2716498273313439,0.0501539074789131,48.4375
Leve Premio (0.5 a 1.5),236,1.0869124944423487,0.9239525121835012,0.0460012886381804,57.6271186440678
Caro (1.5 a 2.5),203,0.8047031668278902,0.7845017810507615,0.0566185384916424,54.71698113207547
Muito Caro (>2.5),30,5.743431603348286,7.3179165273191344,0.0359110146301374,90.32258064516128
Muito Barato (<-2.5),24,-2.2433052868014367,-5.686614094599052,0.0793447249662785,41.66666666666667
Barato (-2.5 a -1.5),127,-3.000551630965988,-3.098291085952776,0.0801560909294604,38.582677165354326
Leve Desc (-1.5 a -0.5),233,-0.9002161832868909,-2.029138686386134,0.0884285004218916,38.034188034188034
Neutro,180,-0.4386782856412222,-1.290593296238124,0.0736400952339837,43.91534391534391
Leve Premio (0.5 a 1.5),195,0.6249271539446046,0.8947076562580758,0.0637438133700141,53.84615384615385
Caro (1.5 a 2.5),135,1.6387110600435817,0.0,0.0767344321361552,49.629629629629626
Muito Caro (>2.5),20,2.073726224164445,2.161440454710095,0.0535939942327845,70.0
Muito Barato (<-2.5),24,-1.1184898820295843,-1.4672101756331046,0.0204495514374654,29.166666666666668
Barato (-2.5 a -1.5),126,-1.619306671756891,-1.59806812803458,0.0428993298436905,38.095238095238095
Leve Desc (-1.5 a -0.5),161,0.7877262279196714,0.3851131168491228,0.0403807272500232,52.79503105590062
Neutro,190,0.6470129921730006,0.1450343856107316,0.0375990793935258,54.21052631578947
Leve Premio (0.5 a 1.5),161,1.0063402144833942,1.2125498802606494,0.0448071395689489,56.52173913043478
Caro (1.5 a 2.5),169,0.0487802147130026,0.0,0.0469703382906514,47.19101123595505
Muito Caro (>2.5),19,0.1133394271436047,0.2020248336801478,0.0314941502809288,50.0
Muito Barato (<-2.5),9,-9.531873242265004,-6.173993202237749,0.0820819376402383,11.11111111111111
Barato (-2.5 a -1.5),152,1.1254332267479494,-0.5435819223281957,0.2458374713371817,48.68421052631579
Leve Desc (-1.5 a -0.5),369,-2.0908998908757748,-5.237318570684158,0.2213609530252256,30.07915567282322
Neutro,216,-2.052413575706382,-3.578418296975933,0.1271125019571677,37.03703703703704
Leve Premio (0.5 a 1.5),121,-5.107278812380728,-7.318951022870845,0.1091640938693432,24.793388429752067
Caro (1.5 a 2.5),31,2.105632451079458,-4.244304905677065,0.188881062042168,41.935483870967744
Muito Caro (>2.5),16,5.879065486168939,7.308877714649364,0.0916369017454522,68.75
Muito Barato (<-2.5),5,-0.2937940439137576,-2.010424150833978,0.0361939209612102,40.0
Barato (-2.5 a -1.5),95,0.4513495381512707,0.9844207753944234,0.0628037474740327,56.84210526315789
Leve Desc (-1.5 a -0.5),247,0.9480592076101392,-0.724635065319601,0.0783236145413832,43.31983805668016
Neutro,214,0.2692847072850786,0.0,0.0678413834751465,49.06542056074766
Leve Premio (0.5 a 1.5),208,0.9463577914737548,0.2781396487421927,0.0633968318553262,50.697674418604656
Caro (1.5 a 2.5),137,-1.5143929122153024,-1.86986213420044,0.0721383450728865,37.85714285714285
Muito Caro (>2.5),8,-1.737880246464589,-1.4710666530679315,0.0404902059196528,50.0
Muito Barato (<-2.5),0,,,,
Barato (-2.5 a -1.5),84,-0.286451047019221,-0.5465504677310606,0.0525961910331079,46.42857142857143
Leve Desc (-1.5 a -0.5),192,1.4363927279359785,0.7668240021613371,0.0466427484635549,57.51295336787565
Neutro,182,-0.0086392593575796,-0.8000890185949017,0.0489813839434424,39.79057591623037
Leve Premio (0.5 a 1.5),255,0.7688085193405483,0.5616796315205175,0.0568910967421094,53.72549019607843
Caro (1.5 a 2.5),170,1.0772648227617727,0.5999336299363889,0.058295259438318,58.82352941176471
Muito Caro (>2.5),31,0.5045606902279817,-0.1160691509988542,0.0435618991020909,45.16129032258064
Muito Barato (<-2.5),3,1.850812126596139,2.568093226297119,0.0181512284902438,66.66666666666666
Barato (-2.5 a -1.5),70,0.8160402571619463,0.5477720032493583,0.0415037936239113,60.0
Leve Desc (-1.5 a -0.5),205,0.7574829760522626,-0.3218085418137728,0.0565720444481264,47.80487804878049
Neutro,151,-0.2111488750853794,-0.8203759380117859,0.060992736757416,43.70860927152318
Leve Premio (0.5 a 1.5),218,0.0831102632393204,0.8000799063518249,0.0565367347005762,55.85585585585585
Caro (1.5 a 2.5),229,0.6949141726490667,0.8879185896959463,0.0473041117855311,57.44680851063831
Muito Caro (>2.5),38,1.496046281035542,1.0643462672872972,0.0478555502746852,63.1578947368421
Muito Barato (<-2.5),4,-1.1383423854281065,-1.062545596199005,0.0508170461558221,50.0
Barato (-2.5 a -1.5),81,0.5523456942243659,0.6933072698133591,0.0495219638809163,55.55555555555556
Leve Desc (-1.5 a -0.5),193,1.0177815260280152,0.3159082672651081,0.0621202814236559,55.44041450777202
Neutro,161,-0.924926223257353,-1.115758200360184,0.0713823939063933,39.75155279503105
Leve Premio (0.5 a 1.5),198,0.6246813067901218,1.07435247205816,0.0570551096038524,59.80392156862745
Caro (1.5 a 2.5),235,0.4150682272557948,0.5854062789075742,0.0504561578179118,56.903765690376574
Muito Caro (>2.5),42,2.116306669665095,1.890247937802103,0.0519356763285653,54.761904761904766
Muito Barato (<-2.5),7,2.153446257418588,2.2845806122019363,0.0171332698673742,100.0
Barato (-2.5 a -1.5),54,1.758827123980945,2.618596946308127,0.0261620227928896,75.92592592592592
Leve Desc (-1.5 a -0.5),215,0.9016984001179432,0.6548864623635575,0.0340716543932182,60.46511627906976
Neutro,207,0.5478106086745288,0.4272123006491934,0.0368182767613308,52.58215962441315
Leve Premio (0.5 a 1.5),199,1.0388997994095337,0.82376144334666,0.035919484984593,56.15763546798029
Caro (1.5 a 2.5),172,-0.042409850104151,0.3124595031159805,0.0405912859426947,54.06976744186046
Muito Caro (>2.5),60,1.1961179304831089,2.083429433058348,0.0398431483625868,61.66666666666667
Muito Barato (<-2.5),9,5.791741629742358,4.017856898598216,0.0735538373729422,77.77777777777779
Barato (-2.5 a -1.5),136,1.8260775920198973,2.688582795164951,0.0725675206916658,63.97058823529412
Leve Desc (-1.5 a -0.5),316,0.3688097780239201,-0.6030452863964086,0.0871963906359173,47.151898734177216
Neutro,201,-1.2602314944713426,-2.4528333824649806,0.089757626517945,37.79904306220095
Leve Premio (0.5 a 1.5),142,-2.4124952647800018,-3.375158828430508,0.0799216259694198,34.02777777777778
Caro (1.5 a 2.5),87,-1.5856995094942454,-1.9259285405254567,0.1007578287511334,44.82758620689656
Muito Caro (>2.5),23,-1.6591218523756668,-6.202533460100046,0.1082040975190794,39.130434782608695
