Year,Muito Barato (<-2.5),Barato (-2.5 a -1.5),Leve Desc (-1.5 a -0.5),Neutro,Leve Premio (0.5 a 1.5),Caro (1.5 a 2.5),Muito Caro (>2.5)
2022,,6.511033650368264,3.8770220249717395,-0.009055446215702284,-1.9831523798836082,-1.6094407913242972,-10.317390060488501
2023,3.7136135797340986,3.7736986819458695,3.510894342432607,5.881477552918897,3.7870240229834007,-0.2402316946909624,-1.3765306288447041
2024,3.032945107732758,2.5215442511009027,-0.9646944435920388,-4.314267221757353,-6.460010154402418,,
2025,,10.903229251984637,,4.87592375049999,3.554628829632539,3.7456377707157684,5.013435041059154
