ticker,open,high,low,close,volume,FDI_30,Entropy_20,Hurst_100,LZC_50,FDI_n,Entropy_n,LZC_n,Hurst_n,regime_score,regime_delta,regime_accel,regime_state,is_transition,transition_type,prob_toxic,prob_chop,prob_neutral,prob_trend,prob_clean_trend,regime_most_likely,regime_confidence
AURE3.SA,12.140000343322754,12.350000381469727,11.869999885559082,12.329999923706055,3339200.0,1.4326300061388895,2.5804820237218404,0.5418711340686425,3.27343659006934,0.6640517801417931,0.6659573212832177,0.3333333337270753,0.39345130828541164,52.77284594521936,-3.607810806620982,-9.36769795223146,neutral,False,stable,8.417663483596639e-05,0.05912957940733623,0.760746726543737,0.17926580972243059,0.0007737076916601991,neutral,0.760746726543737
ASAI3.SA,7.980000019073486,8.079999923706055,7.860000133514404,7.869999885559082,16401600.0,1.4793825326139687,2.903701696057348,0.6736819032966582,3.160559466273846,0.587643001185379,0.38765393401144566,0.37500000034606196,0.731892946346867,51.333497321436404,4.380830436801489,4.3001127560764445,neutral,False,stable,0.00015360354288276743,0.08090851495718086,0.7805654053056331,0.13792609524081498,0.00044638095348819,neutral,0.7805654053056331
ALOS3.SA,28.31999969482422,29.190000534057617,28.209999084472656,28.65999984741211,5363900.0,1.4179831511939631,2.4211274733371866,0.57526765538147,2.4832967235008785,0.6802968582145811,0.8841831373441922,0.7142857144665142,0.38930191998013947,68.15666544130788,1.4184886308163698,5.256624475974647,trend,False,stable,3.568189893341963e-08,0.000543604161016361,0.15168396004880635,0.775208661953063,0.07256373815521519,trend,0.775208661953063
AZUL4.SA,1.0199999809265137,1.1200000047683716,1.0099999904632568,1.0499999523162842,26063700.0,1.4295138243173389,2.6638651219508542,0.742232313951493,2.596173847296373,0.6011897351135069,0.5118860203768458,0.7500000001845667,0.7633259179279019,64.84936092599855,4.551747482129727,5.181541424428673,trend,False,stable,2.34140905478133e-07,0.0018409554838317355,0.26511320056830584,0.6992645164742323,0.033781093332724624,trend,0.6992645164742323
BBSE3.SA,35.349998474121094,35.5,35.16999816894531,35.16999816894531,3689100.0,1.5150134625446676,2.946439344671015,0.5824566947369101,2.9348052186828566,0.2503696371799624,0.15229588485919565,0.555555555774301,0.325374605492149,31.71486724107927,-2.520732449218201,-6.0722704639754745,chop,False,stable,0.07460048927075646,0.7767515268746144,0.14813054743248863,0.0005174033215402648,3.3100600248194317e-08,chop,0.7767515268746144
BPAC11.SA,53.43000030517578,55.22999954223633,53.20000076293945,54.779998779296875,9599300.0,1.4520729586287289,2.3427376486136673,0.5393389125919568,3.047682342478351,0.6598171690169785,0.5274832030571939,0.43750000031145597,0.23843777326553445,48.687850620036286,0.33481350018000455,2.626795109569649,neutral,False,stable,0.0004426934403948009,0.137371971554823,0.7807558519212139,0.08127452447831231,0.00015495860525611984,neutral,0.7807558519212139
BBDC4.SA,18.229999542236328,18.700000762939453,18.18000030517578,18.540000915527344,22571700.0,1.5332617245331577,2.4804820237218403,0.48907768368144366,3.27343659006934,0.36835546144860076,0.43620163437864623,0.2857142861662856,0.07415730901580475,30.581708037397416,-10.037097336246045,-11.800065666382014,chop,False,stable,0.09464130961437046,0.7855905004771376,0.11943559503310612,0.0003325779134620882,1.696192362655668e-08,chop,0.7855905004771376
B3SA3.SA,14.140000343322754,14.550000190734863,14.0600004196167,14.300000190734863,23197900.0,1.4378558709990905,2.5016094970590275,0.5886317471901605,3.160559466273846,0.6618105977982378,0.6317312163484474,0.6521739131774547,0.3165160946933339,58.28226806596136,1.5910571244413845,-4.009032392858693,neutral,False,stable,7.002378737436594e-06,0.014804752516063816,0.5732958255034835,0.40661039704290264,0.005282022558812623,neutral,0.5732958255034835
BEEF3.SA,6.099999904632568,6.25,6.019999980926514,6.139999866485596,12986800.0,1.4619511207415057,2.8282129458410017,0.6326735782137819,2.9348052186828566,0.5118172048054528,0.3217126150063855,0.6875000001730311,0.5129717150488725,50.844265824626454,-0.6117393187031013,-1.4278773575177865,neutral,False,stable,0.0001876659735351521,0.0896364039893438,0.7841612670103622,0.1256459287358772,0.00036873429088160733,neutral,0.7841612670103622
COGN3.SA,3.690000057220459,3.7799999713897705,3.6700000762939453,3.7200000286102295,11969200.0,1.512231177042974,2.3037016960573484,0.638080843524097,3.160559466273846,0.34884522917208505,0.875181422273325,0.5555555557743008,0.7173101304138575,60.57998393463034,3.1272693276172276,3.2820692726841116,trend,False,stable,2.2530751427346934e-06,0.007542378031882595,0.46244808780321794,0.5193256250446221,0.010681656045134819,trend,0.5193256250446221
BBDC3.SA,15.739999771118164,15.970000267028809,15.619999885559082,15.84000015258789,4992600.0,1.5059039792490156,2.439353872167201,0.5327959064308302,3.047682342478351,0.3788654317113288,0.4956902924877482,0.3846153850347547,0.2538188753671129,38.449982396744694,-9.760263351321974,-13.975577043634765,chop,False,stable,0.014122315684021185,0.5655239792330158,0.4147803809407447,0.005571953201149971,1.3709410684217044e-06,chop,0.5655239792330158
ABEV3.SA,13.529999732971191,13.84000015258789,13.420000076293945,13.779999732971191,22635200.0,1.4053315883102933,2.8464393446710154,0.7095569437647511,2.9348052186828566,0.7726856436471405,0.3448895069596336,0.7777777778871504,0.6829067119221763,64.90538566902735,-5.768195899339986,-3.4892957525467097,trend,False,stable,2.2699450975452734e-07,0.001804876930526847,0.26284632366543725,0.7010972967912772,0.034251275618248984,trend,0.7010972967912772
BBAS3.SA,21.479999542236328,21.81999969482422,21.43000030517578,21.56999969482422,17143500.0,1.5264220563632418,2.295461844238322,0.6480705032046948,2.7090509710918678,0.3156034168324352,0.5948411151296147,0.7272727274923765,0.5299813246074715,53.12057506267226,4.203879795528053,-0.4561120729632435,neutral,False,stable,7.258972602596966e-05,0.054662785002056374,0.7539289577736251,0.19045446852732864,0.0008811989709637912,neutral,0.7539289577736251
CMIN3.SA,5.630000114440918,5.71999979019165,5.53000020980835,5.699999809265137,6106800.0,1.5018303378231384,2.7841837197791888,0.6479208703920855,2.596173847296373,0.43869906883073395,0.4648443409977683,0.8461538462586887,0.7266039570506728,60.4680058873469,-0.8204649641574093,-2.295429992107323,trend,False,stable,2.384419480491007e-06,0.007805289062171171,0.46796933312642136,0.5138872809957925,0.010335712396134606,trend,0.5138872809957925
CVCB3.SA,1.9500000476837158,1.9900000095367432,1.940000057220459,1.9800000190734863,6719400.0,1.607812814010737,2.5841837197791886,0.5219874415509712,3.3863137138648347,0.18996561325902028,0.725176963911942,0.3684210529260674,0.24285180155755595,37.89595484987196,12.42627876547084,16.995715147605523,chop,False,stable,0.016485315375428928,0.590908378440951,0.3879404883599591,0.004664790466988514,1.0273566726031534e-06,chop,0.590908378440951
CXSE3.SA,16.110000610351562,16.280000686645508,16.079999923706055,16.15999984741211,1297900.0,1.4369457117294557,3.0086949695628418,0.5490791157132441,2.596173847296373,0.7207459662293609,0.2410778635931733,0.7368421053858616,0.31384343103522044,52.34724683206111,1.3786708271960109,-1.602842541832274,neutral,False,stable,0.0001007540012668007,0.06499926760879908,0.768027368582188,0.16621377068559745,0.0006588391221486946,neutral,0.768027368582188
BRAP4.SA,20.489999771118164,20.8700008392334,20.389999389648438,20.770000457763672,4051700.0,1.3716111581791288,2.765957320949175,0.6523635707919909,2.9348052186828566,0.8219366230428502,0.5192649517291559,0.629629629751155,0.6807479763673571,66.99542275564043,-3.8108251170507685,-4.589244776144568,trend,False,stable,6.98784473472944e-08,0.0008439443347410282,0.18668371298767417,0.7563470726198596,0.05612520017927787,trend,0.7563470726198596
BRKM5.SA,7.96999979019165,8.020000457763672,7.78000020980835,7.889999866485596,3047700.0,1.455832009168013,2.4332062193464954,0.614568396556862,2.596173847296373,0.6843561483614534,0.6068106836148246,0.6000000002362452,0.45477246563148743,59.79640085975011,-0.981784919457553,-1.5513057750593404,neutral,False,stable,3.339338070443716e-06,0.009557225810970182,0.5009857561106776,0.48099546496489815,0.008458213775383645,neutral,0.5009857561106776
CSAN3.SA,5.960000038146973,6.099999904632568,5.940000057220459,5.960000038146973,17749800.0,1.562619737391206,2.7086949695628424,0.6887573220437067,4.2893307042287905,0.22428282642783126,0.4752661179238632,5.211289177964318e-10,0.7215538250594438,33.04121425514862,3.6656581525534975,7.076474695367047,chop,False,stable,0.05566114594068669,0.7556098678337221,0.18787334635005465,0.0008555685136226888,7.136191375269775e-08,chop,0.7556098678337221
CPLE6.SA,14.210000038146973,14.3100004196167,14.09000015258789,14.260000228881836,8525000.0,1.347039336185989,2.723219672335508,0.6653359078315667,3.047682342478351,1.0,0.5698155416053906,0.6956521740302729,0.8453580430531904,78.5438537519554,4.096672906340942,3.2450731986073436,trend,False,stable,5.104345613453467e-11,6.208613135612578e-06,0.01383156106827127,0.564377732165301,0.4217844981022487,trend,0.564377732165301
CSNA3.SA,9.579999923706055,9.84000015258789,9.489999771118164,9.770000457763672,6954000.0,1.484975621270861,3.108694969562842,0.684321241432168,2.370419599705384,0.49977360493537737,0.09143148560734571,1.0,0.5657948728366864,53.594892744978694,7.841569071491847,3.4660714333523046,neutral,True,improving,5.920580301660263e-05,0.049020708487682856,0.7433904266762897,0.20647925122429833,0.001050407808712494,neutral,0.7433904266762897
CMIG4.SA,10.949999809265137,11.029999732971191,10.880000114440918,10.949999809265137,9775200.0,1.5210800554741244,2.7232196723355075,0.6324843914441307,2.821928094887362,0.5006498730043747,0.43069187679460574,0.6428571430831426,0.6545785556348923,54.94979279977279,5.9389974107846655,9.803173293664834,neutral,False,stable,3.269013061026144e-05,0.03549090608764824,0.7057316436395553,0.2570302075335534,0.0017145526086328427,neutral,0.7057316436395553
DIRR3.SA,17.780000686645508,17.799999237060547,17.3700008392334,17.450000762939453,14216300.0,1.4880763395204726,1.9804820237218406,0.6911510399100717,3.4991908376603287,0.37729731690146096,1.0,0.2307692312934435,0.6461032312549377,55.010214914478674,-5.8416497213030425,0.9432220957229376,neutral,True,deteriorating,3.1822333501796195e-05,0.034968793817953314,0.7038033899171616,0.25944429697533855,0.0017516969560446177,neutral,0.7038033899171616
ELET6.SA,68.19999694824219,68.3499984741211,67.16000366210938,67.63999938964844,872400.0,1.3340508833243654,2.363865121950854,0.6532328621282221,2.9348052186828566,0.8747079556193261,0.5520662665932725,0.7368421053858614,0.7073936368619235,72.6118207052966,-2.280487741364894,0.6540471619002233,trend,False,stable,2.4284251688893986e-09,9.018398222900374e-05,0.06134175030547783,0.7641964073615395,0.1743716559223286,trend,0.7641964073615395
ENGI11.SA,48.16999816894531,48.959999084472656,47.599998474121094,48.22999954223633,2129600.0,1.5223636597820145,2.560964047443681,0.5597248465462565,2.821928094887362,0.46197272350052754,0.7006198383958206,0.9473684210771723,0.5609864435341232,66.27861706252311,1.908369901055437,2.8805811344831227,trend,False,stable,1.0516272684248655e-07,0.0011004528583375506,0.21091288838759273,0.74038373269569,0.04760282089565282,trend,0.74038373269569
CPFE3.SA,48.79999923706055,49.20000076293945,48.349998474121094,48.849998474121094,2216700.0,1.3544577626658934,2.765957320949175,0.6477824047646225,3.27343659006934,0.8447374774892428,0.36492380566209703,0.38888888918966413,0.6051883798332873,56.29120929263707,-4.594717774867526,-5.839441736464316,neutral,False,stable,1.7832658647777352e-05,0.02531806344733931,0.6583653166603682,0.31356348021010105,0.0027353070235437457,neutral,0.6583653166603682
CYRE3.SA,32.5,33.0,32.29999923706055,32.849998474121094,3466200.0,1.4200081190322287,2.2841837197791888,0.7377448479952587,2.7090509710918678,0.6862171855658536,0.9726450377536098,0.7857142858498855,0.8290366490124863,81.12623163731271,-2.2407151921165394,-2.9633263666028284,clean_trend,False,stable,8.47153274497128e-12,1.7271060829412018e-06,0.006449085074922432,0.44106162255044734,0.5524875652600757,clean_trend,0.5524875652600757
ECOR3.SA,10.279999732971191,10.710000038146973,10.260000228881836,10.460000038146973,4264200.0,1.3486986407558452,2.4232196723355077,0.7318595817169959,2.596173847296373,0.8839965293706722,0.7066608940766606,0.8666666667454151,0.7222637280956283,80.29835946358462,3.3370536398784623,2.5026454295028913,clean_trend,False,stable,1.518395813689886e-11,2.6232154061370537e-06,0.008300513939420376,0.4810587124751708,0.5106381503548187,clean_trend,0.5106381503548187
ELET3.SA,65.0,65.08000183105469,63.470001220703125,63.560001373291016,7714400.0,1.3603606781016302,2.6414460711655217,0.6462216437374874,2.7090509710918678,0.7826720774301216,0.4063948364977136,0.7368421053858614,0.6809930346739632,65.6809465634723,-0.1419362029204052,-0.14493679591357989,trend,False,stable,1.4732332324202178e-07,0.0013679433452275201,0.23264128473112414,0.7246487316866436,0.0413418929136814,trend,0.7246487316866436
IGTI11.SA,25.729999542236328,26.200000762939453,25.690000534057617,25.920000076293945,2215600.0,1.4639383436232594,2.065957320949175,0.5881376128543166,3.160559466273846,0.4215500678430383,1.0,0.6153846156467213,0.4330372023178791,61.69186147281677,3.781755911430807,6.066530288233764,trend,False,stable,1.2737436402128038e-06,0.005325876655360561,0.4078704594832632,0.5721046431894916,0.01469774692824439,trend,0.5721046431894916
EGIE3.SA,30.299999237060547,30.549999237060547,30.209999084472656,30.309999465942383,1206000.0,1.499378407527134,2.7841837197791888,0.6857359792579024,2.9348052186828566,0.4802898238572135,0.48089043166027756,0.6363636366565022,0.7994779315641628,58.329605054919156,2.539833398625781,2.017991541070316,neutral,False,stable,6.844827591253966e-06,0.014609310089972375,0.5711089595972075,0.40891242971721387,0.005362455768015046,neutral,0.5711089595972075
FLRY3.SA,14.739999771118164,14.979999542236328,14.630000114440918,14.8100004196167,2242400.0,1.485710295557367,2.390468570732828,0.6660285284469465,2.596173847296373,0.5422170065272538,0.4565861278908768,0.8125000001038187,0.8156113715121296,64.30589082592759,3.0757917557305063,6.163183068980544,trend,False,stable,3.157546838307262e-07,0.0022269505924407086,0.28766924563776936,0.6806100529656577,0.02949343504944849,trend,0.6806100529656577
