ticker,regime,return,win,reason,days_held,entry_price,exit_price,stop_loss,sinal_tipo,phase,window
ABEV3.SA,BEAR_CALM,0.02379992702102749,1,MAX_DAYS,10,11.434321403503418,11.720178604125977,10.524773411820053,PRICE,TEST,2022-01
ALOS3.SA,BEAR_CALM,-0.08771036954994163,0,STOP_LOSS,8,16.048656463623047,14.660281262174959,14.660281262174959,PRICE,TRAIN,2022-01
ALOS3.SA,BEAR_CALM,0.05240449596277217,1,MAX_DAYS,10,13.958717346191406,14.7069673538208,12.579557188220079,PRICE,TRAIN,2022-01
ALOS3.SA,BEAR_CALM,0.13230462870440127,1,SIGNAL,5,13.399681091308594,15.188600540161133,11.797827075607318,PRICE,TEST,2022-01
BBDC3.SA,BEAR_CALM,-0.06895008040582254,0,STOP_LOSS,4,10.04146671295166,9.361156535756795,9.361156535756795,PRICE,TRAIN,2022-01
BBDC3.SA,BEAR_CALM,0.08206624794459935,1,MAX_DAYS,10,9.544743537902832,10.339498519897461,8.813616570413279,PRICE,TRAIN,2022-01
BBDC3.SA,BEAR_CALM,0.06981261078605247,1,MAX_DAYS,10,9.603151321411133,10.285096168518066,8.608877871158004,PRICE,TEST,2022-01
AZUL4.SA,BEAR_CALM,-0.0055440651381916325,0,MAX_DAYS,10,11.510000228881836,11.460000038146973,9.533214398792811,PRICE,TRAIN,2022-01
AZUL4.SA,BEAR_CALM,0.23908906239769742,1,MAX_DAYS,10,11.069999694824219,13.729999542236328,9.337856871741158,PRICE,TRAIN,2022-01
AZUL4.SA,BEAR_CALM,-0.10119999999999998,0,HARD_STOP,6,10.680000305175781,9.612000274658204,9.0210713999612,PRICE,TRAIN,2022-01
AZUL4.SA,BEAR_CALM,0.03817013565078695,1,SIGNAL,1,10.15999984741211,10.5600004196167,8.659998893737793,PRICE,TEST,2022-01
BBAS3.SA,BEAR_CALM,0.05792989032273441,1,SIGNAL,2,13.20551872253418,13.986359596252441,12.04234725610396,PRICE,TEST,2022-01
BBDC4.SA,BEAR_CALM,-0.07063900627062772,0,STOP_LOSS,3,11.517613410949707,10.717841781084104,10.717841781084104,PRICE,TRAIN,2022-01
BBDC4.SA,BEAR_CALM,-0.0005396738841020531,0,END_CLOSED,4,11.640634536743164,11.648321151733398,10.744080925015314,PRICE,TRAIN,2022-01
BBDC4.SA,BEAR_CALM,0.12083806932843397,1,SIGNAL,5,10.777987480163574,12.09331226348877,9.662104461684903,PRICE,TEST,2022-01
BBSE3.SA,BEAR_CALM,0.040214140288309476,1,MAX_DAYS,10,13.690248489379883,14.257218360900879,12.81559346186306,PRICE,TRAIN,2022-01
BEEF3.SA,BEAR_CALM,0.06182515399849007,1,MAX_DAYS,10,8.716297149658203,9.265643119812012,7.9495011735471115,PRICE,TRAIN,2022-01
BEEF3.SA,BEAR_CALM,0.07416467572826288,1,SIGNAL,3,11.716761589050293,12.599791526794434,10.233177697107863,PRICE,TEST,2022-01
BEEF3.SA,BEAR_CALM,0.027219142229780148,1,MAX_DAYS,10,10.691307067871094,10.995144844055176,9.339973227052129,PRICE,TEST,2022-01
BPAC11.SA,BEAR_CALM,0.10603485385126907,1,MAX_DAYS,10,20.046388626098633,22.196060180664062,17.548150082188208,PRICE,TRAIN,2022-01
BRAP4.SA,BEAR_CALM,0.11283521936738947,1,MAX_DAYS,10,17.53839111328125,19.53838539123535,15.973297193136437,PRICE,TRAIN,2022-01
BRAP4.SA,BEAR_CALM,0.044173568709582424,1,MAX_DAYS,10,15.036728858947754,15.718998908996582,13.977249641367452,PRICE,TRAIN,2022-01
BRKM5.SA,BEAR_CALM,-0.10119999999999987,0,HARD_STOP,9,51.68751907348633,46.5187671661377,45.46328876468396,PRICE,TRAIN,2022-01
BRKM5.SA,BEAR_CALM,-0.10119999999999998,0,HARD_STOP,5,27.780000686645508,25.002000617980958,24.569287163870676,PRICE,TRAIN,2022-01
BRKM5.SA,BEAR_CALM,0.02106179966078745,1,MAX_DAYS,10,22.459999084472656,22.959999084472656,19.559999465942383,PRICE,TEST,2022-01
CMIN3.SA,BEAR_CALM,0.12451431089716722,1,MAX_DAYS,10,2.2180967330932617,2.496943235397339,1.9962869651266042,PRICE,TRAIN,2022-01
COGN3.SA,BEAR_CALM,0.07880006121908631,1,MAX_DAYS,10,1.9472569227218628,2.1030375957489014,1.700372552139023,PRICE,TRAIN,2022-01
COGN3.SA,BEAR_CALM,0.02792613973001066,1,END_CLOSED,2,2.0056746006011963,2.0640921592712402,1.717063194518227,PRICE,TRAIN,2022-01
COGN3.SA,BEAR_CALM,0.1321332831022893,1,SIGNAL,5,1.8985755443572998,2.151718854904175,1.6186576287268775,PRICE,TEST,2022-01
CPFE3.SA,BEAR_CALM,0.027425304255814,1,MAX_DAYS,10,29.111194610595703,29.94451141357422,27.256833871062824,PRICE,TEST,2022-01
CSAN3.SA,BEAR_CALM,0.060319041088085924,1,MAX_DAYS,10,14.981322288513184,15.902958869934082,13.387599520763914,PRICE,TRAIN,2022-01
CSAN3.SA,BEAR_CALM,0.11490001215706944,1,SIGNAL,6,14.66157054901123,16.363779067993164,12.639609040370736,PRICE,TEST,2022-01
CSNA3.SA,BEAR_CALM,0.06680829415331399,1,MAX_DAYS,10,10.086638450622559,10.772613525390625,8.861682300061656,PRICE,TRAIN,2022-01
CXSE3.SA,BEAR_CALM,0.02548378323832754,1,MAX_DAYS,10,5.663389682769775,5.814510345458984,5.2933003773195235,PRICE,TRAIN,2022-01
CVCB3.SA,BEAR_CALM,0.24750470770271735,1,MAX_DAYS,10,10.55118465423584,13.175313949584961,8.909033125097102,PRICE,TRAIN,2022-01
CVCB3.SA,BEAR_CALM,-0.10119999999999998,0,HARD_STOP,5,9.822259902954102,8.840033912658692,8.543387923921857,PRICE,TRAIN,2022-01
CVCB3.SA,BEAR_CALM,0.03696789126127884,1,MAX_DAYS,10,6.032267093658447,6.262506008148193,5.030727011816842,PRICE,TRAIN,2022-01
CVCB3.SA,BEAR_CALM,0.159603924329876,1,SIGNAL,3,3.66540789604187,4.254819869995117,2.9056188464164734,PRICE,TEST,2022-01
CYRE3.SA,BEAR_CALM,0.11524950041158441,1,SIGNAL,3,10.883325576782227,12.150683403015137,9.34344101337288,PRICE,TEST,2022-01
DIRR3.SA,BEAR_CALM,-0.10119999999999998,0,HARD_STOP,4,2.9302051067352295,2.6371845960617066,2.555179458697648,PRICE,TRAIN,2022-01
ECOR3.SA,BEAR_CALM,0.08451424546071626,1,SIGNAL,9,6.430596351623535,6.981790065765381,5.640551740973038,PRICE,TRAIN,2022-01
ECOR3.SA,BEAR_CALM,0.14192265416370828,1,MAX_DAYS,10,4.942372798919678,5.649738311767578,4.450234972110112,PRICE,TRAIN,2022-01
ECOR3.SA,BEAR_CALM,-0.10060357746226992,0,STOP_LOSS,10,4.620842933654785,4.161514615158249,4.161514615158249,PRICE,TRAIN,2022-01
ECOR3.SA,BEAR_CALM,-0.10119999999999998,0,HARD_STOP,7,4.381992340087891,3.943793106079102,3.6241008265557086,PRICE,TRAIN,2022-01
ECOR3.SA,BEAR_CALM,0.00114732805744442,1,MAX_DAYS,10,3.9209144115448,3.9301180839538574,3.4106350558297045,PRICE,TRAIN,2022-01
ECOR3.SA,BEAR_CALM,0.03851956182745995,1,END_CLOSED,6,3.9393222332000732,4.095790386199951,3.4496923788516867,PRICE,TRAIN,2022-01
ECOR3.SA,BEAR_CALM,0.1667012194070515,1,SIGNAL,5,3.7276296615600586,4.353503227233887,3.2214077498060347,PRICE,TEST,2022-01
EGIE3.SA,BEAR_CALM,0.012829365688296603,1,MAX_DAYS,10,22.229297637939453,22.541160583496094,20.84720773219899,PRICE,TRAIN,2022-01
EGIE3.SA,BEAR_CALM,0.04934046780673094,1,SIGNAL,5,22.2050838470459,23.32733917236328,21.064824745512478,PRICE,TEST,2022-01
ELET3.SA,BEAR_CALM,0.07211162365193755,1,SIGNAL,6,34.83473587036133,37.388526916503906,31.90487472795355,PRICE,TEST,2022-01
ELET3.SA,BEAR_CALM,0.030738010811658924,1,MAX_DAYS,10,28.20537567138672,29.106199264526367,25.561315119165666,PRICE,TEST,2022-01
ELET6.SA,BEAR_CALM,0.046361482394051114,1,MAX_DAYS,10,33.68907928466797,35.2913818359375,31.25918768854275,PRICE,TEST,2022-01
ELET6.SA,BEAR_CALM,0.051049550510576226,1,MAX_DAYS,10,28.0200138092041,29.484046936035156,25.96920178333326,PRICE,TEST,2022-01
ENEV3.SA,BEAR_CALM,-0.019497497837731158,0,MAX_DAYS,10,12.569999694824219,12.34000015258789,10.952142477035522,PRICE,TRAIN,2022-01
ENEV3.SA,BEAR_CALM,-0.048385405498690325,0,MAX_DAYS,10,12.079999923706055,11.510000228881836,10.821071318217687,PRICE,TRAIN,2022-01
ENEV3.SA,BEAR_CALM,0.009816958672847466,1,END_CLOSED,7,11.800000190734863,11.930000305175781,10.644643170492989,PRICE,TRAIN,2022-01
ENEV3.SA,BEAR_CALM,0.03687797701376803,1,SIGNAL,1,11.029999732971191,11.449999809265137,9.579999923706055,PRICE,TEST,2022-01
EMBR3.SA,BEAR_CALM,-0.11648854694776914,0,STOP_LOSS,10,21.987377166748047,19.452484402001108,19.452484402001108,PRICE,TRAIN,2022-01
EMBR3.SA,BEAR_CALM,-0.10119999999999998,0,HARD_STOP,3,20.65874481201172,18.59287033081055,18.325429895389455,PRICE,TRAIN,2022-01
EMBR3.SA,BEAR_CALM,-0.04547085405068265,0,MAX_DAYS,10,19.180267333984375,18.331140518188477,16.791653162356322,PRICE,TRAIN,2022-01
EMBR3.SA,BEAR_CALM,-0.10119999999999998,0,HARD_STOP,2,17.482013702392578,15.73381233215332,15.207568445723682,PRICE,TRAIN,2022-01
EMBR3.SA,BEAR_CALM,-0.10119999999999998,0,HARD_STOP,4,17.581911087036133,15.82371997833252,15.130861343391844,PRICE,TRAIN,2022-01
ENGI11.SA,BEAR_CALM,-0.005002310641209061,0,MAX_DAYS,10,32.703189849853516,32.57884216308594,30.089966309107226,PRICE,TEST,2022-01
EZTC3.SA,BEAR_CALM,-0.10119999999999998,0,HARD_STOP,6,12.128777503967285,10.915899753570557,10.538980347991057,PRICE,TRAIN,2022-01
EZTC3.SA,BEAR_CALM,-0.020908153408266815,0,END_CLOSED,6,11.539185523986816,11.311769485473633,9.937356215432969,PRICE,TRAIN,2022-01
EZTC3.SA,BEAR_CALM,0.07266820047031439,1,SIGNAL,3,10.604259490966797,11.387577056884766,9.382959000080177,PRICE,TEST,2022-01
FLRY3.SA,BEAR_CALM,0.05515757230307559,1,MAX_DAYS,10,11.414125442504883,12.057397842407227,10.257024017078887,PRICE,TEST,2022-01
HAPV3.SA,BEAR_CALM,-0.07940302753665521,0,MAX_DAYS,10,90.1500015258789,83.0999984741211,75.92678560529437,PRICE,TRAIN,2022-01
HAPV3.SA,BEAR_CALM,0.24209507235599323,1,MAX_DAYS,10,78.29999542236328,97.3499984741211,65.20178140912738,PRICE,TRAIN,2022-01
HAPV3.SA,BEAR_CALM,-0.08102263716303373,0,MAX_DAYS,10,67.6500015258789,62.25,55.08749771118164,PRICE,TEST,2022-01
IGTI11.SA,BEAR_CALM,0.009528468525486035,1,MAX_DAYS,10,16.261890411376953,16.436355590820312,14.589395771394612,PRICE,TRAIN,2022-01
IGTI11.SA,BEAR_CALM,0.0969447999884144,1,MAX_DAYS,10,15.343659400939941,16.849559783935547,13.151378078618265,PRICE,TEST,2022-01
IRBR3.SA,BEAR_CALM,-0.10791082594561832,0,STOP_LOSS,10,83.88501739501953,74.93357790433444,74.93357790433444,PRICE,TRAIN,2022-01
IRBR3.SA,BEAR_CALM,0.1140542894139994,1,MAX_DAYS,10,73.43050384521484,81.89368438720703,64.00721658979144,PRICE,TRAIN,2022-01
IRBR3.SA,BEAR_CALM,-0.10119999999999998,0,HARD_STOP,4,32.70000076293945,29.43000068664551,28.199999604906353,PRICE,TRAIN,2022-01
IRBR3.SA,BEAR_CALM,0.009911082854094345,1,MAX_DAYS,10,27.0,27.299999237060547,22.821426595960347,PRICE,TRAIN,2022-01
IRBR3.SA,BEAR_CALM,0.40186126990285864,1,PROFIT_TARGET,6,21.0,29.46428666796003,16.767856666019984,PRICE,TRAIN,2022-01
IRBR3.SA,BEAR_CALM,-0.06064907771076502,0,MAX_DAYS,10,20.690000534057617,19.459999084472656,18.232857295445033,PRICE,TEST,2022-01
ITSA4.SA,BEAR_CALM,0.03159307477516813,1,MAX_DAYS,10,5.817100524902344,6.007861137390137,5.488063511988317,PRICE,TRAIN,2022-01
ITUB4.SA,BEAR_CALM,0.050926670266313014,1,SIGNAL,3,18.07567024230957,19.017894744873047,16.84135442425562,PRICE,TEST,2022-01
LREN3.SA,BEAR_CALM,-0.0005134566798382855,0,END_CLOSED,5,16.382993698120117,16.394241333007812,14.049649518152945,PRICE,TRAIN,2022-01
LREN3.SA,BEAR_CALM,0.10213883108713348,1,SIGNAL,6,15.10543441772461,16.666412353515625,12.874040305706748,PRICE,TEST,2022-01
LWSA3.SA,BEAR_CALM,-0.10119999999999998,0,HARD_STOP,6,8.869503021240234,7.982552719116211,6.85792284526733,PRICE,TRAIN,2022-01
LWSA3.SA,BEAR_CALM,0.03726157034219533,1,MAX_DAYS,10,5.7526702880859375,5.973927021026611,4.490064125731292,PRICE,TEST,2022-01
MGLU3.SA,BEAR_CALM,0.1081247217047124,1,MAX_DAYS,10,56.478145599365234,62.65260314941406,45.082635664359955,PRICE,TRAIN,2022-01
MGLU3.SA,BEAR_CALM,-0.10119999999999998,0,HARD_STOP,5,34.86753463745117,31.380781173706055,29.01411959443143,PRICE,TRAIN,2022-01
MGLU3.SA,BEAR_CALM,-0.10119999999999998,0,HARD_STOP,3,29.87348747253418,26.886138725280762,24.830795062403524,PRICE,TRAIN,2022-01
MGLU3.SA,BEAR_CALM,0.046044120535483436,1,SIGNAL,2,23.06342124938965,24.153032302856445,18.863879731424195,PRICE,TEST,2022-01
MRVE3.SA,BEAR_CALM,-0.054391554534792184,0,MAX_DAYS,10,9.028839111328125,8.54858112335205,7.876221530540011,PRICE,TRAIN,2022-01
MRVE3.SA,BEAR_CALM,-0.024606999609787204,0,MAX_DAYS,10,7.690000057220459,7.510000228881836,6.750714387212481,PRICE,TRAIN,2022-01
MRVE3.SA,BEAR_CALM,0.0707322624920573,1,END_CLOSED,2,7.090000152587891,7.599999904632568,5.973928724016462,PRICE,TRAIN,2022-01
MRVE3.SA,BEAR_CALM,0.09085018694410571,1,SIGNAL,5,7.170000076293945,7.829999923706055,6.044999957084656,PRICE,TEST,2022-01
