ticker,regime,return,win,reason,days_held,entry_price,exit_price
AURE3.SA,BEAR_VOLATILE,-0.023504826964465673,0,MAX_DAYS,8,8.016356468200684,7.837553024291992
B3SA3.SA,BEAR_VOLATILE,0.1347797947644652,1,MAX_DAYS,8,10.911360740661621,12.395085334777832
CMIN3.SA,BEAR_VOLATILE,-0.11995016312126275,0,STOP_LOSS,8,3.041961908340454,2.6807284355163574
BRKM5.SA,BEAR_VOLATILE,-0.09856022780959442,0,STOP_LOSS,1,19.1299991607666,17.267498084477015
CSAN3.SA,BEAR_VOLATILE,-0.08557343751487181,0,MAX_DAYS,8,18.837154388427734,17.247798919677734
CSAN3.SA,BEAR_VOLATILE,-0.10945436107594345,0,STOP_LOSS,8,7.389999866485596,6.590000152587891
CSNA3.SA,BEAR_VOLATILE,0.05109862032559107,1,MAX_DAYS,8,15.932124137878418,16.765352249145508
CSNA3.SA,BEAR_VOLATILE,-0.13460119176103516,0,STOP_LOSS,8,13.747507095336914,11.913573265075684
CSNA3.SA,BEAR_VOLATILE,-0.019292144829429335,0,MAX_DAYS,8,11.575885772705078,11.366453170776367
CVCB3.SA,BEAR_VOLATILE,-0.04160406168924138,0,MAX_DAYS,8,1.9800000190734863,1.899999976158142
CXSE3.SA,BEAR_VOLATILE,-0.01967289725864687,0,MAX_DAYS,8,5.843294620513916,5.735352039337158
ECOR3.SA,BEAR_VOLATILE,-0.0054253568660362,0,MAX_DAYS,8,6.781913757324219,6.753257751464844
ENEV3.SA,BEAR_VOLATILE,-0.006175158999091178,0,MAX_DAYS,8,12.0600004196167,12.0
EZTC3.SA,BEAR_VOLATILE,-0.04090765976686974,0,MAX_DAYS,10,15.435327529907227,14.822426795959473
EZTC3.SA,BEAR_VOLATILE,-0.06816428312818082,0,MAX_DAYS,8,14.816596031188965,13.824413299560547
EZTC3.SA,BEAR_VOLATILE,0.006471916382812061,1,MAX_DAYS,8,10.461071014404297,10.541327476501465
FLRY3.SA,BEAR_VOLATILE,0.016493217109556736,1,MAX_DAYS,8,11.632118225097656,11.83792781829834
IRBR3.SA,BEAR_VOLATILE,0.018030742309688687,1,MAX_DAYS,8,51.77473068237305,52.7703971862793
LWSA3.SA,BEAR_VOLATILE,-0.06382228319123509,0,MAX_DAYS,8,4.915743827819824,4.607908725738525
MGLU3.SA,BEAR_VOLATILE,0.07276448508998609,1,MAX_DAYS,8,30.69069480895996,32.960716247558594
PCAR3.SA,BEAR_VOLATILE,-0.018382195622028717,0,MAX_DAYS,8,2.9100000858306885,2.859999895095825
RAIL3.SA,BEAR_VOLATILE,0.035817937095844334,1,MAX_DAYS,10,18.640811920166016,19.330856323242188
RAIZ4.SA,BEAR_VOLATILE,0.05809467110343811,1,MAX_DAYS,8,5.1174774169921875,5.420916557312012
RAIZ4.SA,BEAR_VOLATILE,-0.1440572001004964,0,MAX_DAYS,8,1.190000057220459,1.0199999809265137
RENT3.SA,BEAR_VOLATILE,0.009382083643600138,1,MAX_DAYS,8,40.88564682006836,41.318302154541016
SLCE3.SA,BEAR_VOLATILE,-0.021736291412784013,0,MAX_DAYS,8,17.043853759765625,16.693836212158203
SUZB3.SA,BEAR_VOLATILE,-0.013924115307556016,0,MAX_DAYS,10,51.869998931884766,51.209999084472656
USIM5.SA,BEAR_VOLATILE,0.004253346034993256,1,MAX_DAYS,8,12.83312702178955,12.90311050415039
WEGE3.SA,BEAR_VOLATILE,-0.05563547015887773,0,MAX_DAYS,8,43.749122619628906,41.367618560791016
YDUQ3.SA,BEAR_VOLATILE,-0.10396081619183187,0,MAX_DAYS,8,18.1018123626709,16.241655349731445
YDUQ3.SA,BEAR_VOLATILE,-0.11493385832497563,0,MAX_DAYS,8,13.035815238952637,11.553201675415039
