ticker,regime,return,win,reason,days,entry_price,exit_price,atr,phase,window
AURE3,SIDEWAYS_CALM,0.022027761617108135,1,MAX_DAYS,15,10.731014251708984,10.973833084106445,0.34576487952489565,TRAIN,2022-01
ABEV3,BULL_VOLATILE,0.03701342960870543,1,MAX_DAYS,15,12.688796997070312,13.16606616973877,0.3003509186304966,TRAIN,2022-01
ASAI3,BEAR_CALM,-0.0038414684516834942,0,MAX_DAYS,15,11.950539588928223,11.911802291870117,0.5762214222607744,TRAIN,2022-01
ASAI3,BULL_CALM,0.034464855488850935,1,MAX_DAYS,15,15.035017013549805,15.562217712402344,0.5118601147260909,TRAIN,2022-01
ASAI3,BULL_CALM,0.03399116695548545,1,MAX_DAYS,15,15.523165702819824,14.986201286315918,0.5718328355880843,TRAIN,2022-01
ASAI3,BULL_VOLATILE,0.1377928084729125,1,MAX_DAYS,15,17.49529266357422,19.916515350341797,0.928879409671824,TRAIN,2022-01
ASAI3,BULL_CALM,-0.07048113880229628,0,STOP_LOSS,6,18.66339683532715,19.967616260098982,0.6868892983669883,TEST,2022-01
ALOS3,BEAR_CALM,-0.07849401340108642,0,STOP_LOSS,3,13.967320442199707,15.05529108790168,0.6376700245289528,TEST,2022-01
ALOS3,SIDEWAYS_CALM,-0.07507248484456835,0,STOP_LOSS,4,14.732770919799805,15.829956978843093,0.5442930600146364,TEST,2022-01
AZUL4,BEAR_CALM,-0.10447914594888318,0,STOP_LOSS,10,22.979999542236328,20.592856815883092,1.3107141767229353,TRAIN,2022-01
AZUL4,BEAR_CALM,0.14728315016190285,1,MAX_DAYS,15,16.770000457763672,14.289999961853027,0.8721424511500767,TRAIN,2022-01
AZUL4,BEAR_VOLATILE,0.21202251092167482,1,MAX_DAYS,15,16.31999969482422,12.850000381469727,1.0014285360063826,TRAIN,2022-01
AZUL4,BEAR_CALM,0.014511117892795139,1,MAX_DAYS,15,11.25,11.420000076293945,0.6449999809265137,TEST,2022-01
BBAS3,SIDEWAYS_CALM,-0.04681261615473506,0,STOP_LOSS,4,10.386279106140137,10.866256235748136,0.2461237407505365,TRAIN,2022-01
BBAS3,BULL_CALM,-0.06105859863366757,0,STOP_LOSS,10,12.881579399108887,13.660381637767331,0.4151666090835392,TRAIN,2022-01
BBAS3,BULL_CALM,-0.06151920736713939,0,STOP_LOSS,13,16.222858428955078,17.211142105676338,0.7043210855051684,TRAIN,2022-01
BBAS3,SIDEWAYS_CALM,-0.061096064411540786,0,STOP_LOSS,2,13.375443458557129,14.184605147558923,0.4458481977775627,TEST,2022-01
B3SA3,BULL_CALM,-0.08503860537538789,0,STOP_LOSS,5,12.531723976135254,13.589885271629425,0.5493659324636967,TRAIN,2022-01
BBDC3,BEAR_CALM,-0.0027138830662594778,0,MAX_DAYS,15,10.00105094909668,10.022192001342773,0.2600577346213602,TEST,2022-01
BBDC3,BEAR_CALM,0.09703145398666803,1,MAX_DAYS,15,10.075976371765137,9.092244148254395,0.27584079338585277,TEST,2022-01
BBDC4,BEAR_CALM,-0.0824968319081905,0,STOP_LOSS,4,11.278397560119629,12.202062589294492,0.4649269927587074,TEST,2022-01
BBSE3,BULL_CALM,-0.04484284666980593,0,STOP_LOSS,4,18.45346450805664,17.637030707299985,0.42464847952484547,TRAIN,2022-01
