ticker,regime,return,win,reason,days_held,hurst_entrada,entropy_entrada,halflife_entrada,sinal_tipo,phase,window
AURE3.SA,SIDEWAYS_CALM,-0.0053782664857328286,0,TIME_STOP,14,0.5,0.2801782088190489,1.6293208727344997,PRICE,TRAIN,2021-12
AURE3.SA,SIDEWAYS_CALM,-0.0012,0,END_CLOSED,0,0.5,0.6404918543175048,1.811079077670569,PRICE,TRAIN,2021-12
AURE3.SA,SIDEWAYS_CALM,-0.005278851280265194,0,TIME_STOP,42,0.5,0.5719334875186988,3.370265057290759,PRICE,TEST,2021-12
BRKM5.SA,BEAR_VOLATILE,-0.05410170377512715,0,HARD_STOP,2,0.5,0.8827774723870938,12.086846173601737,PRICE,TEST,2021-12
BRKM5.SA,BEAR_VOLATILE,-0.06262921863587192,0,HARD_STOP,7,0.5,1.308917510403797,20.728461068594978,PRICE,TEST,2021-12
BRKM5.SA,BEAR_CALM,-0.05338854205274215,0,HARD_STOP,5,0.5,0.6712521613571705,22.10745201780812,PRICE,TEST,2021-12
CPLE6.SA,BULL_CALM,0.00880000000000001,1,STOP_TECNICO,42,0.5,0.2870543473048066,3.615530040053668,PRICE,TRAIN,2021-12
CPLE6.SA,BULL_VOLATILE,-0.008446353558846618,0,TIME_STOP,15,0.5,0.816939441699446,6.480633539886135,PRICE,TRAIN,2021-12
CPLE6.SA,SIDEWAYS_CALM,-0.008477996235662831,0,TIME_STOP,14,0.5,0.68305295871007,7.680162344524728,PRICE,TRAIN,2021-12
CPLE6.SA,SIDEWAYS_CALM,-0.002651264483546599,0,TIME_STOP,38,0.5,0.2937896784776459,7.026780712430571,PRICE,TRAIN,2021-12
CSNA3.SA,SIDEWAYS_VOLATILE,-0.003137893329313822,0,TIME_STOP,19,0.5,0.8316138535984189,4.022363166242946,PRICE,TRAIN,2021-12
ENGI11.SA,BULL_VOLATILE,-0.005191609706640142,0,TIME_STOP,11,0.5,1.992137624126468,24.04183648964873,PRICE,TRAIN,2021-12
ENGI11.SA,BULL_CALM,-0.05247659818380181,0,HARD_STOP,8,0.5,1.595024568037328,20.999914568084503,PRICE,TRAIN,2021-12
ENGI11.SA,SIDEWAYS_CALM,-0.027685680455069382,0,TIME_STOP,11,0.5,0.4954386228280678,14.25586549605248,PRICE,TRAIN,2021-12
ENGI11.SA,SIDEWAYS_CALM,-0.05973327707933331,0,HARD_STOP,6,0.5,0.6990431582700831,15.060558967496268,PRICE,TRAIN,2021-12
EQTL3.SA,BULL_CALM,-0.004844959784359414,0,TIME_STOP,20,0.5,1.1185240773987628,18.56874150306301,PRICE,TRAIN,2021-12
EQTL3.SA,SIDEWAYS_CALM,-0.0016135476446781582,0,TIME_STOP,17,0.5,0.33960981938733453,9.15053107408741,PRICE,TRAIN,2021-12
EQTL3.SA,BULL_VOLATILE,-0.00014821980420434027,0,SIGNAL,1,0.5,0.5805592043132093,19.558178187026975,PRICE,TRAIN,2021-12
EQTL3.SA,BULL_VOLATILE,-0.05147924614763035,0,HARD_STOP,4,0.5,0.2502306724845383,10.963311841202922,PRICE,TRAIN,2021-12
HYPE3.SA,BULL_CALM,0.2826206698182493,1,SIGNAL,128,0.5,0.7020444864149155,13.159295804907375,PRICE,TRAIN,2021-12
HYPE3.SA,BULL_CALM,0.01568404413779021,1,SIGNAL,3,0.5,0.9253401032289441,9.550752347273502,PRICE,TRAIN,2021-12
