ticker,regime,return,win,reason,days_held,entry_price,exit_price,stop_loss,sinal_tipo,phase,window
ABEV3.SA,SIDEWAYS_CALM,-0.05018758731299435,0,STOP_LOSS,3,12.598280906677246,11.981121520767765,11.981121520767765,PRICE,TRAIN,2022-01
ABEV3.SA,SIDEWAYS_CALM,0.00444563830077347,1,SIGNAL,1,12.274571418762207,12.34386920928955,11.659543487763257,PRICE,TEST,2022-01
ABEV3.SA,BEAR_CALM,0.02379992702102749,1,MAX_DAYS,10,11.434321403503418,11.720178604125977,10.706683010156727,PRICE,TEST,2022-01
ALOS3.SA,BEAR_CALM,-0.07040829563995324,0,STOP_LOSS,8,16.048656463623047,14.937956302464576,14.937956302464576,PRICE,TRAIN,2022-01
ALOS3.SA,BEAR_CALM,0.05240449596277217,1,MAX_DAYS,10,13.958717346191406,14.7069673538208,12.855389219814345,PRICE,TRAIN,2022-01
ALOS3.SA,BEAR_CALM,0.13230462870440127,1,SIGNAL,5,13.399681091308594,15.188600540161133,12.118197878747573,PRICE,TEST,2022-01
AURE3.SA,SIDEWAYS_CALM,-0.02746634990747556,0,MAX_DAYS,10,12.438302040100098,12.111593246459961,10.863094879168774,PRICE,TRAIN,2022-01
ASAI3.SA,BULL_CALM,0.060594678331145825,1,SIGNAL,6,18.20366096496582,19.328550338745117,16.922264649484895,PRICE,TEST,2022-01
AZUL4.SA,BEAR_CALM,-0.0055440651381916325,0,MAX_DAYS,10,11.510000228881836,11.460000038146973,9.928571564810616,PRICE,TRAIN,2022-01
AZUL4.SA,BEAR_CALM,0.24915488648013948,1,PROFIT_TARGET,9,11.069999694824219,13.841428211757115,9.68428543635777,PRICE,TRAIN,2022-01
AZUL4.SA,BEAR_CALM,-0.10119999999999998,0,HARD_STOP,6,10.680000305175781,9.612000274658204,9.352857181004115,PRICE,TRAIN,2022-01
AZUL4.SA,BEAR_CALM,0.03817013565078695,1,SIGNAL,1,10.15999984741211,10.5600004196167,8.959999084472656,PRICE,TEST,2022-01
BBAS3.SA,BEAR_CALM,0.05792989032273441,1,SIGNAL,2,13.20551872253418,13.986359596252441,12.274981549390004,PRICE,TEST,2022-01
BBDC3.SA,BEAR_CALM,-0.05540006432465796,0,STOP_LOSS,3,10.04146671295166,9.497218571195768,9.497218571195768,PRICE,TRAIN,2022-01
BBDC3.SA,BEAR_CALM,0.07502981741824163,1,MAX_DAYS,10,9.323123931884766,10.03382396697998,8.761199916347515,PRICE,TRAIN,2022-01
BBDC3.SA,BEAR_CALM,0.06981261078605247,1,MAX_DAYS,10,9.603151321411133,10.285096168518066,8.80773256120863,PRICE,TEST,2022-01
BBDC4.SA,BEAR_CALM,-0.05675120501650235,0,STOP_LOSS,3,11.517613410949707,10.877796107057224,10.877796107057224,PRICE,TRAIN,2022-01
BBDC4.SA,BEAR_CALM,-0.0005396738841020531,0,END_CLOSED,4,11.640634536743164,11.648321151733398,10.923391647360884,PRICE,TRAIN,2022-01
BBDC4.SA,BEAR_CALM,0.12083806932843397,1,SIGNAL,5,10.777987480163574,12.09331226348877,9.885281065380637,PRICE,TEST,2022-01
BPAC11.SA,BEAR_CALM,0.10603485385126907,1,MAX_DAYS,10,20.046388626098633,22.196060180664062,18.047797790970293,PRICE,TRAIN,2022-01
BBSE3.SA,SIDEWAYS_CALM,-0.04548232648638386,0,STOP_LOSS,4,14.208817481994629,13.579617987271504,13.579617987271504,PRICE,TRAIN,2022-01
BBSE3.SA,BULL_CALM,0.06155132294409724,1,MAX_DAYS,10,24.081113815307617,25.592235565185547,22.361564766625804,PRICE,TEST,2022-01
BEEF3.SA,SIDEWAYS_CALM,-0.06283020657055818,0,STOP_LOSS,3,9.210708618164062,8.643050743365391,8.643050743365391,PRICE,TRAIN,2022-01
BEEF3.SA,SIDEWAYS_CALM,-0.02262856763261791,0,MAX_DAYS,10,8.97265911102295,8.780387878417969,8.372956061165013,PRICE,TRAIN,2022-01
BEEF3.SA,BEAR_CALM,-0.07157813997804433,0,STOP_LOSS,5,8.716297149658203,8.10286036876933,8.10286036876933,PRICE,TRAIN,2022-01
BEEF3.SA,BEAR_CALM,0.1403928717521473,1,PROFIT_TARGET,5,8.276819229125977,9.448757832751317,7.690849927313306,PRICE,TRAIN,2022-01
BEEF3.SA,BEAR_CALM,0.07416467572826288,1,SIGNAL,3,11.716761589050293,12.599791526794434,10.529894475496349,PRICE,TEST,2022-01
BEEF3.SA,BEAR_CALM,0.027219142229780148,1,MAX_DAYS,10,10.691307067871094,10.995144844055176,9.610239995215922,PRICE,TEST,2022-01
BRAP4.SA,BEAR_CALM,0.11283521936738947,1,MAX_DAYS,10,17.53839111328125,19.53838539123535,16.2863159771654,PRICE,TRAIN,2022-01
BRAP4.SA,BEAR_CALM,0.044173568709582424,1,MAX_DAYS,10,15.036728858947754,15.718998908996582,14.189145484883513,PRICE,TRAIN,2022-01
BRAP4.SA,BULL_CALM,0.033306078863375534,1,SIGNAL,2,21.12422752380371,21.85314178466797,20.009417519370924,PRICE,TEST,2022-01
BRAP4.SA,SIDEWAYS_CALM,0.041568325361175475,1,END_CLOSED,6,18.380077362060547,19.166162490844727,17.315291815416636,PRICE,TEST,2022-01
