ticker,regime,return,win,reason,days_held,date_entry,date_exit,hurst_entrada,entropy_entrada,halflife_entrada,sinal_tipo,phase,window
TOTS3.SA,BEAR_CALM,0.012338271557875792,1,END_CLOSED,28,2023-08-11,2023-09-08,-0.6426430054296699,-1.691189897432038,1.6886472808568915,PRICE,TRAIN,2023-03-08_2023-09-08
USIM5.SA,SIDEWAYS_CALM,-0.0197449184397245,0,TIME_STOP,11,2023-08-10,2023-08-21,0.2341019028489991,-1.7808891433326897,2.911855220828316,PRICE,TRAIN,2023-03-08_2023-09-08
USIM5.SA,BEAR_CALM,-0.008467468017784884,0,TIME_STOP,11,2023-08-28,2023-09-08,-0.34872678125790685,0.6008535298397514,6.475041116989207,PRICE,TRAIN,2023-03-08_2023-09-08
ABEV3.SA,BEAR_CALM,-0.055273612637107526,0,HARD_STOP,11,2023-09-11,2023-09-22,-1.4473445767265014,0.6129506484399553,15.528896295459738,PRICE,TRAIN,2023-04-08_2023-10-08
ASAI3.SA,BEAR_CALM,-0.051200000000000044,0,HARD_STOP,3,2023-09-19,2023-09-22,0.20849082927794169,-0.713930302439026,6.315730364038477,PRICE,TRAIN,2023-04-08_2023-10-08
ASAI3.SA,BEAR_CALM,0.02142829460921534,1,END_CLOSED,3,2023-10-03,2023-10-06,-0.8654215754227701,0.6753401721732296,9.186546072736407,PRICE,TRAIN,2023-04-08_2023-10-08
AZUL4.SA,BEAR_CALM,-0.02028396890992703,0,STOP_TECNICO,19,2023-09-14,2023-10-03,-1.379940545307447,1.2615167499990905,34.30961849152067,PRICE,TRAIN,2023-04-08_2023-10-08
B3SA3.SA,BEAR_CALM,0.029261276781605262,1,END_CLOSED,3,2023-10-03,2023-10-06,-0.7962834128200643,0.20271506505476877,1000.0,PRICE,TRAIN,2023-04-08_2023-10-08
BBDC3.SA,SIDEWAYS_CALM,-0.01982552846486387,0,TIME_STOP,11,2023-09-22,2023-10-03,-0.8083945729063425,-0.3056707567301796,34.30961849152067,PRICE,TRAIN,2023-04-08_2023-10-08
BBDC4.SA,SIDEWAYS_CALM,-0.05475934124651518,0,HARD_STOP,7,2023-09-19,2023-09-26,-1.843131225449459,0.9660624803817255,15.27758394416471,PRICE,TRAIN,2023-04-08_2023-10-08
