factor,label,stat,p_value,mean_win,mean_loss,median_win,median_loss,mean_diff,median_diff,cohen_d,median_diff_ci_low,median_diff_ci_up,n_win,n_loss
Hurst_Z,Tendência (Hurst Z),209.0,0.2544917043715029,0.4351361700714237,-0.07409334356358575,0.3692762944474618,0.0993981051606592,0.5092295136350095,0.2698781892868026,0.4915569654465095,-0.3821855198696869,1.2494577129407902,19,18
Entropy_Z,Caos/Ruído (Entropy Z),197.0,0.4384195331587336,-0.968616645458933,-1.1710992748313032,-0.8132343432740938,-1.4274174089843656,0.20248262937237016,0.6141830657102718,0.1708259386978523,-0.5313035259311872,1.1121892318234416,19,18
Entropy_Media,Entropia Média,98.0,0.02759143052839793,2.7760185517525953,2.825173350334649,2.749667779472805,2.820587494625921,-0.049154798582053516,-0.07091971515311579,-0.6945894841131052,-0.12828170025008845,0.00341529322688742,19,18
Vol_Diaria_Atual,Volatilidade (%),146.0,0.45658735882491763,2.6224152620230847,2.388013829598975,2.0049074702118115,2.511078904872506,0.23440143242410993,-0.5061714346606947,0.14606579844494688,-1.2101819557047517,0.35048425402386707,19,18
