z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),3,0.3657933908097247,-0.09686975668543596,0.026243183656381636,33.33333333333333,5
Barato (-2.5 a -1.5),70,0.6584094390330297,0.5865548428165002,0.03520104632258797,61.42857142857143,5
Leve Desc (-1.5 a -0.5),205,0.07035254269658948,-0.27815926537424485,0.03676359145141709,45.85365853658537,5
Neutro,151,-0.13441403451702597,-0.15105454802999407,0.04298798371179904,47.019867549668874,5
Leve Premio (0.5 a 1.5),220,0.23258420680059672,0.4092708290309166,0.040246555154466616,54.95495495495496,5
Caro (1.5 a 2.5),232,0.45418957229837253,0.4727850491052399,0.0358705064385793,54.04255319148936,5
Muito Caro (>2.5),38,0.27205231236276617,0.2530524388407063,0.025326437348544492,57.89473684210527,5
Muito Barato (<-2.5),3,1.850812126596139,2.568093226297119,0.01815122849024381,66.66666666666666,10
Barato (-2.5 a -1.5),70,0.8160402571619463,0.5477720032493583,0.04150379362391138,60.0,10
Leve Desc (-1.5 a -0.5),205,0.7574829760522626,-0.32180854181377283,0.05657204444812648,47.80487804878049,10
Neutro,151,-0.21114887508537944,-0.8203759380117859,0.06099273675741608,43.70860927152318,10
Leve Premio (0.5 a 1.5),218,0.08311026323932046,0.8000799063518249,0.05653673470057628,55.85585585585585,10
Caro (1.5 a 2.5),229,0.6949141726490667,0.8879185896959463,0.04730411178553117,57.446808510638306,10
Muito Caro (>2.5),38,1.496046281035542,1.0643462672872972,0.047855550274685243,63.1578947368421,10
Muito Barato (<-2.5),3,5.783110362686358,6.7829632061343625,0.055343133475464996,66.66666666666666,20
Barato (-2.5 a -1.5),70,3.1354968844966837,1.590104960042793,0.06780415046198462,68.57142857142857,20
Leve Desc (-1.5 a -0.5),205,1.8807195197058135,0.7023507037795751,0.08447179329784624,55.1219512195122,20
Neutro,151,0.198765135861746,-1.1913429130396058,0.08177963537827418,43.70860927152318,20
Leve Premio (0.5 a 1.5),218,0.28600874964635803,1.5900714697566487,0.0898731581277418,57.20720720720721,20
Caro (1.5 a 2.5),219,0.7512009099910494,1.2145198592651951,0.0728714544275096,52.76595744680851,20
Muito Caro (>2.5),38,2.1919762563433,2.7765945994372765,0.07149508345711202,65.78947368421053,20
Muito Barato (<-2.5),3,2.692311656231827,2.5779460920754005,0.022065968957570264,100.0,40
Barato (-2.5 a -1.5),70,4.126426852429266,3.01938975847047,0.08020992139032083,77.14285714285715,40
Leve Desc (-1.5 a -0.5),205,5.301153245251262,1.9618023218533231,0.11055441671798104,61.951219512195124,40
Neutro,151,4.2716342726801555,3.207150671179382,0.13245385282871333,55.62913907284768,40
Leve Premio (0.5 a 1.5),218,-0.6770717843107182,2.4419546817895044,0.12839190364397463,54.95495495495496,40
Caro (1.5 a 2.5),199,-0.45010073775504733,-1.4227645393668276,0.12134620399730962,35.74468085106383,40
Muito Caro (>2.5),38,1.6805968622786134,4.625025777078706,0.13099801201696235,60.526315789473685,40
