Year,Muito Barato (<-2.5),Barato (-2.5 a -1.5),Leve Desc (-1.5 a -0.5),Neutro,Leve Premio (0.5 a 1.5),Caro (1.5 a 2.5),Muito Caro (>2.5)
2022,,10.825105367445447,4.826557674801057,3.380268586495035,1.6484570831395322,0.8439658503984551,-4.02627918954014
2023,8.337713854385878,-0.9674556230346396,-0.7142669273512889,-0.48532920934325485,-3.645325977068868,-4.920352868955823,0.1776832871702938
2024,-2.8795428388691735,-4.577534443163427,-2.506201014367001,-5.958492999941598,-7.421877109493147,-15.803185377295629,-13.343898383117914
2025,,,4.096533939044167,7.22458740328304,2.8641958010023734,0.20541899948176323,6.720796659705426
