z_bucket,Count,Avg_Return,Median_Return,Volatility,Win_Rate,Horizon_Days
Muito Barato (<-2.5),5,-0.631484397163089,-1.6236917632482917,0.02714876246501884,40.0,5
Barato (-2.5 a -1.5),56,0.7457833145252081,0.33581157752411994,0.07447808273029871,50.0,5
Leve Desc (-1.5 a -0.5),200,0.792276008854929,0.8120648981166045,0.04765048477461512,57.49999999999999,5
Neutro,250,0.23022111235155457,0.0,0.05052154245939804,49.6,5
Leve Premio (0.5 a 1.5),278,0.054098601137584225,0.34456632577247737,0.04001310900153195,51.77304964539007,5
Caro (1.5 a 2.5),98,0.2495170275637073,-0.267149602793465,0.0452738461929212,48.484848484848484,5
Muito Caro (>2.5),32,-1.2430228447702876,-0.6204808280600771,0.04250471631010205,40.625,5
Muito Barato (<-2.5),5,-4.176425184265993,-2.6676066710373925,0.09452610578214322,40.0,10
Barato (-2.5 a -1.5),56,3.3484688417619655,3.0653819078860667,0.11060210696899804,66.07142857142857,10
Leve Desc (-1.5 a -0.5),200,1.4184229195981515,1.5177909720276994,0.06289671915155612,61.5,10
Neutro,250,-0.2985817731060914,-0.9844301019555024,0.06891623952499788,44.0,10
Leve Premio (0.5 a 1.5),274,0.3039347462303544,0.8663695908422309,0.05439844304664428,53.90070921985816,10
Caro (1.5 a 2.5),97,0.9016093274242772,-0.20172754411740268,0.0627662144857891,46.464646464646464,10
Muito Caro (>2.5),32,-1.261162253035024,-0.6204808280600771,0.046757396223340394,40.625,10
Muito Barato (<-2.5),5,-4.248007974305681,-1.3337998813135132,0.08485132651931022,20.0,20
Barato (-2.5 a -1.5),56,6.752429239846883,4.175373944882388,0.1378546773744215,66.07142857142857,20
Leve Desc (-1.5 a -0.5),200,4.0174895737890335,3.728767254415022,0.10049495016578676,68.0,20
Neutro,250,-0.8017717148372655,-1.6687780140279829,0.08810675207409674,43.2,20
Leve Premio (0.5 a 1.5),267,-0.09313433376346726,-0.549643522633636,0.07199490034863629,43.262411347517734,20
Caro (1.5 a 2.5),94,2.647794246730153,0.6148066422467235,0.08650188386270927,51.515151515151516,20
Muito Caro (>2.5),32,-3.315408904186841,-4.165183839414299,0.06438071283106483,34.375,20
Muito Barato (<-2.5),5,-4.776155982246508,0.8549755650534951,0.1259877256661385,60.0,40
Barato (-2.5 a -1.5),56,8.215069602900266,9.730862172802334,0.18644587179930447,73.21428571428571,40
Leve Desc (-1.5 a -0.5),200,7.73109621139961,6.434031496910042,0.13710733461246663,65.0,40
Neutro,250,1.4365601542455504,-0.1737269057062618,0.10357479439505697,48.4,40
Leve Premio (0.5 a 1.5),253,0.01840453908138078,0.5496291325095326,0.09060667027353135,47.16312056737589,40
Caro (1.5 a 2.5),88,3.077463217469422,1.8020028789954567,0.07689574563396966,55.55555555555556,40
Muito Caro (>2.5),32,-6.978834805505022,-6.391267571433951,0.05863494281498885,12.5,40
