Year,Muito Barato (<-2.5),Barato (-2.5 a -1.5),Leve Desc (-1.5 a -0.5),Neutro,Leve Premio (0.5 a 1.5),Caro (1.5 a 2.5),Muito Caro (>2.5)
2022,,-1.5363813784701408,-1.8726120150088936,-12.239635535021192,-27.961839782051733,,
2023,-2.2992271899125893,-8.169412843258113,16.336275739228036,36.5459681885744,1.461958773169525,9.05049051152435,18.395789495454018
2024,-2.4215528776920157,-3.550182824136244,-5.355831659427086,-8.053152742030125,-16.140643144318577,-25.085506887492514,
2025,27.48756069210181,,34.11194442769418,1.89159814195188,8.064600575790912,4.13788754083276,0.42857152503094076
