Year,Muito Barato (<-2.5),Barato (-2.5 a -1.5),Leve Desc (-1.5 a -0.5),Neutro,Leve Premio (0.5 a 1.5),Caro (1.5 a 2.5),Muito Caro (>2.5)
2022,4.876467057096826,8.493090422877613,5.677846525145431,-2.0628700489754825,0.3088417069388247,-1.959795006652745,-3.5494147233790616
2023,,16.104483225872702,8.37802612138473,-1.3545858447342038,-1.602476551230423,1.3631805099283374,5.072147170097435
2024,-1.3348260416029156,-3.077154041360269,-3.043947652537371,-12.379881542820469,-15.30301318499896,-14.737184341203552,
2025,25.670356169045473,16.673556824224413,7.148269398996689,6.126423335803928,0.07893305826329657,4.427021383802259,5.353137737673547
