Year,Muito Barato (<-2.5),Barato (-2.5 a -1.5),Leve Desc (-1.5 a -0.5),Neutro,Leve Premio (0.5 a 1.5),Caro (1.5 a 2.5),Muito Caro (>2.5)
2022,6.796109513336912,4.819777980627911,5.2510632989916255,-0.7076795013728868,-1.2154748851537127,1.9380827707612187,-1.914305783685475
2023,4.922872887205054,5.843042608951784,3.6926315816608537,3.5191490035030153,0.6687055019080956,1.4651214878494205,-3.504036853522236
2024,-4.160637329500352,-4.281987555963078,-1.9241193625505235,-1.519053003817532,0.7386252658858758,-9.616643200231149,
2025,1.011612138685114,7.404156974752602,3.2957321040524743,1.310372089465866,7.327199720549259,1.8191580754342997,-0.9850120021660448
