Ticker,Preco,Entropy_Atual,Entropy_Media,Entropy_Z,Vol_Diaria_Atual,VolVol_Z,Hurst_Z,Estado
MULT3.SA,28.079999923706055,1.9833830982290137,2.889107310303322,-4.816508647131556,2.271559305415422,-2.324852364001837,0.42847249962712375,ESTÁVEL (Oportunidade)
DIRR3.SA,17.06999969482422,2.019973094021975,2.8388283044395504,-3.7842637366887883,2.4367276229445083,-0.9760906124343001,1.3653472459423943,ESTÁVEL (Oportunidade)
IGTI11.SA,25.209999084472656,2.133206219346495,2.867847146617156,-3.781186081639937,2.2577578003709844,-0.6644039829582369,0.6879574419023989,ESTÁVEL (Oportunidade)
VBBR3.SA,24.729999542236328,2.2854752972273342,2.8845965613326463,-3.360859270717237,1.6555236827022615,-1.142145453616662,0.05421230492165228,ESTÁVEL (Oportunidade)
CYRE3.SA,35.189998626708984,2.3016094970590277,2.8034090098442666,-2.8767188342376597,3.029813275757629,-0.36090531024122996,-0.07684750086694749,ESTÁVEL (Oportunidade)
YDUQ3.SA,12.510000228881836,2.2464393446710154,2.809883479962715,-2.8090157803213924,3.4679993715751154,-0.7039071347569761,0.14458390539966628,ESTÁVEL (Oportunidade)
ITSA4.SA,12.4399995803833,2.17838982472352,2.812246436634338,-2.6524695581413384,1.74608859231828,-0.31785610577041984,-0.594985423314985,ESTÁVEL (Oportunidade)
LWSA3.SA,4.239999771118164,2.3282129458410017,2.7656534955422236,-2.1941297115630225,3.475342202099864,-0.15249469404471122,1.5145663493188677,ESTÁVEL (Oportunidade)
TAEE11.SA,41.2599983215332,2.463865121950854,2.9124842404143605,-2.184213683711918,2.065419842172739,-0.4902867413590843,1.4896122342790712,ESTÁVEL (Oportunidade)
HAPV3.SA,14.109999656677246,1.675143246409987,2.6937361413220313,-2.1064151336790906,9.955018233521017,-1.5087393967623182,0.36034900313884666,ESTÁVEL (Oportunidade)
BRKM5.SA,7.820000171661377,2.2149798205164815,2.6910263403249446,-2.067703108477464,4.7963880040022495,-1.0655382827980573,-2.0518205533569533,ESTÁVEL (Oportunidade)
EQTL3.SA,38.720001220703125,2.5709505944546684,2.9481495708528076,-1.9789777558287793,1.6618573022074485,-0.6947590346001233,0.36927629444746185,ESTÁVEL (Oportunidade)
ECOR3.SA,10.460000038146973,2.408694969562842,2.850461115129332,-1.9594146735413915,3.109683685888066,-0.5425183293175695,1.0377706985052373,ESTÁVEL (Oportunidade)
COGN3.SA,3.690000057220459,2.3709505944546687,2.8128384712118577,-1.944548289446778,3.2911233858034024,-1.7921228258236723,0.5303922869226387,ESTÁVEL (Oportunidade)
TOTS3.SA,45.08000183105469,2.508694969562842,2.870345768830252,-1.7465065104024466,2.763253586871272,-1.010110599939242,0.6154066191713364,ESTÁVEL (Oportunidade)
ALOS3.SA,27.34000015258789,2.433206219346495,2.754367621326589,-1.7266237498212187,2.5858528680235437,1.1879322040080187,1.1372739175101545,ESTÁVEL (Oportunidade)
IRBR3.SA,53.52000045776367,2.2037016960573483,2.790155980691551,-1.710990299287487,3.3953631185533344,0.2576057285750307,2.2426385503291053,ESTÁVEL (Oportunidade)
GOAU4.SA,11.109999656677246,2.463865121950854,2.828336518039984,-1.6952267672116272,1.2395253170346716,-0.6189874976427483,-1.9223209410949793,ESTÁVEL (Oportunidade)
HYPE3.SA,24.639999389648438,2.463865121950854,2.8042464029332743,-1.6536471129714077,2.400519350780269,0.3359491402488056,-1.335001817191619,ESTÁVEL (Oportunidade)
GGBR4.SA,19.139999389648438,2.463865121950854,2.7641429618468223,-1.5573697198603782,1.0859801986033413,-0.846034557549315,-1.4885297484411733,ESTÁVEL (Oportunidade)
SMFT3.SA,23.90999984741211,2.433206219346495,2.7975747863622997,-1.5073941135133038,2.822880897708206,-0.8303131083574367,0.3272759242927344,ESTÁVEL (Oportunidade)
ELET6.SA,66.86000061035156,2.363865121950854,2.7460612849653603,-1.4669819981093313,1.5675941976361678,1.2627461198028207,-0.5471336079269535,NORMAL
AURE3.SA,12.350000381469727,2.565957320949175,2.9012077574497743,-1.4511292609530066,2.1786793972589424,0.6162429393505082,-1.0346569212808763,NORMAL
RAIL3.SA,15.760000228881836,2.439353872167201,2.8374087492105127,-1.4361698532211213,3.4837833348932765,-0.5758806818598633,0.16916587825057242,NORMAL
USIM5.SA,5.639999866485596,2.4414460711655215,2.776066993891952,-1.4037055570157246,2.658502394079558,-1.579629834433867,0.6032271114907249,NORMAL
