Ticker,Regime Type,Best BB Dev,Max Vol Ratio,Robust Score,Stability Score,Overfit Risk,Param Sensitivity,Sharpe Opt,Calmar Opt,Max DD
EZTC3.SA,Conservador (Calmaria),0.2000,0.8000,0.1135,1.4125,3.4595,0.0094,0.6846,0.2701,-0.6288
EURCAD=X,Híbrido,0.3000,1.8500,0.0070,1.3947,1.9862,0.0010,-0.2147,-0.0463,-0.4231
CXSE3.SA,Híbrido,0.3000,1.1000,1.2469,1.3604,1.2984,0.1451,1.4459,1.0666,-0.2367
FLRY3.SA,Híbrido,0.4500,1.4000,0.0084,1.3541,1.4644,0.0016,0.2325,0.0539,-0.4900
GOAU4.SA,Conservador (Calmaria),0.2000,0.8000,0.0410,1.3530,3.9782,0.0032,0.5132,0.1450,-0.8156
AUDUSD=X,Híbrido,0.4500,1.1000,0.0246,1.3299,1.7873,0.0028,-0.3971,-0.0883,-0.4283
EMBR3.SA,Conservador (Calmaria),0.5000,0.8000,0.0811,1.3239,3.6689,0.0071,0.5284,0.2303,-0.5000
^FCHI,Híbrido,0.2500,1.1000,0.0120,1.3215,1.7980,0.0023,0.3241,0.0613,-0.6613
USDBRL=X,Híbrido,0.8000,1.5500,0.0086,1.2989,2.2040,0.0012,0.2069,0.0559,-0.3375
EURAUD=X,Conservador (Calmaria),0.8000,0.8000,0.0034,1.2578,1.7641,0.0008,-0.1316,-0.0337,-0.3075
NVDA,Conservador (Calmaria),0.8000,0.8000,0.0824,1.2556,2.2688,0.0100,0.5700,0.2333,-0.6131
TAEE11.SA,Híbrido,0.3000,1.2500,1.0685,1.2081,3.8587,0.0931,1.1697,1.0954,-0.1991
EWZ,Híbrido,0.4000,1.2500,0.0574,1.2047,2.1939,0.0097,0.5244,0.1793,-0.6374
CSNA3.SA,Conservador (Calmaria),0.8000,0.8000,0.0398,1.1197,3.9595,0.0042,0.4875,0.1461,-0.7893
ETH-USD,Conservador (Calmaria),0.3500,0.8000,0.5433,1.0857,5.3338,0.0338,0.9042,0.8093,-0.3469
MGLU3.SA,Conservador (Calmaria),0.2000,0.8000,0.0655,1.0749,3.5533,0.0057,-0.4864,-0.2674,-0.9849
SOL-USD,Híbrido,0.6000,1.1000,0.4091,1.0605,2.8288,0.0380,0.9602,0.7317,-0.7175
^N225,Conservador (Calmaria),0.2000,0.8000,0.0029,1.0561,2.2071,0.0006,0.1914,0.0248,-0.6509
BTC-USD,Conservador (Calmaria),0.8000,0.8000,0.5128,1.0483,6.0036,0.0326,0.9579,0.6989,-0.3056
RAIL3.SA,Híbrido,0.8000,1.8500,0.1687,0.9821,3.0848,0.0151,0.6208,0.3895,-0.4331
MRVE3.SA,Híbrido,0.5500,1.4000,0.0363,0.9469,3.0202,0.0047,0.4372,0.1419,-0.7082
IRBR3.SA,Agressivo (Caos),0.7000,2.1500,0.0730,0.9434,2.5827,0.0063,-0.4051,-0.3562,-0.9753
META,Agressivo (Caos),0.5500,2.4500,0.0768,0.9400,3.3041,0.0096,0.6161,0.2111,-0.6938
SI=F,Híbrido,0.2500,2.0000,0.0306,0.9159,3.2568,0.0027,0.4262,0.1201,-0.6745
AVAX-USD,Conservador (Calmaria),0.8000,0.8000,0.3086,0.9137,5.6318,0.0196,0.8152,0.5962,-0.5750
^GDAXI,Híbrido,0.2000,1.1000,0.0161,0.8953,3.4376,0.0018,0.3427,0.0733,-0.5598
SLCE3.SA,Conservador (Calmaria),0.8000,0.8000,0.3891,0.8916,4.1605,0.0296,0.8560,0.6113,-0.3449
KLBN11.SA,Híbrido,0.2000,1.8500,0.1873,0.8869,4.0684,0.0144,0.6095,0.4037,-0.3136
GBPJPY=X,Conservador (Calmaria),0.6500,0.8000,0.0030,0.8740,3.1156,0.0004,0.1314,0.0281,-0.2377
ADA-USD,Híbrido,0.4000,1.2500,0.0381,0.8216,3.0187,0.0067,-0.2848,-0.2605,-0.9446
B3SA3.SA,Conservador (Calmaria),0.4500,0.8000,0.2949,0.7617,5.1723,0.0231,0.7964,0.5206,-0.4059
USDCHF=X,Híbrido,0.7500,1.4000,0.0072,0.7486,3.4683,0.0012,-0.1940,-0.0513,-0.3746
BNB-USD,Híbrido,0.3000,1.8500,0.1248,0.7461,4.3840,0.0124,0.6417,0.3186,-0.6377
ECOR3.SA,Híbrido,0.2000,1.1000,0.0197,0.7256,4.7238,0.0024,0.3733,0.0934,-0.7725
MATIC-USD,Conservador (Calmaria),0.3000,0.8000,0.2215,0.7123,7.6551,0.0165,0.6685,0.4800,-0.4484
MU,Agressivo (Caos),0.6000,2.3000,0.0228,0.7005,4.3505,0.0025,0.4405,0.1007,-0.9458
USDCAD=X,Híbrido,0.3000,1.4000,0.0004,0.6658,0.8504,0.0002,-0.0341,-0.0144,-0.3609
ASAI3.SA,Conservador (Calmaria),0.7500,0.8000,0.1345,0.6373,2.5924,0.0184,0.5154,0.3353,-0.2852
DOT-USD,Conservador (Calmaria),0.8000,0.8000,0.0710,0.5839,4.8308,0.0074,0.5327,0.2251,-0.6882
NZDUSD=X,Conservador (Calmaria),0.7000,0.8000,0.0043,0.5694,4.4406,0.0006,0.1497,0.0354,-0.2316
PRIO3.SA,Conservador (Calmaria),0.5500,0.9500,0.0951,0.5678,4.1446,0.0107,-0.6580,-0.2851,-0.9722
RDOR3.SA,Conservador (Calmaria),0.2000,0.8000,0.0368,0.5318,4.2123,0.0039,-0.3552,-0.1726,-0.6644
BEEF3.SA,Conservador (Calmaria),0.8000,0.8000,0.0403,0.5038,7.8586,0.0032,0.4239,0.1497,-0.5755
RECV3.SA,Conservador (Calmaria),0.7500,0.8000,0.1104,0.4815,13.0128,0.0055,-0.4781,-0.3246,-0.4059
ALOS3.SA,Conservador (Calmaria),0.7500,0.8000,0.2074,0.4725,11.8584,0.0108,0.5996,0.4512,-0.3042
EURJPY=X,Conservador (Calmaria),0.8000,0.8000,0.0256,0.4377,9.5292,0.0019,0.3018,0.1015,-0.1961
CL=F,Híbrido,0.6000,1.1000,0.0134,0.4236,8.6235,0.0014,-0.2278,-0.1116,-0.8931
TIMS3.SA,Híbrido,0.5500,1.7000,0.0025,0.4042,4.7030,0.0005,0.2170,0.0203,-0.7602
AZUL4.SA,Conservador (Calmaria),0.8000,0.9500,0.0146,0.3858,3.0694,0.0054,0.3942,0.0702,-0.8900
AURE3.SA,Conservador (Calmaria),0.8000,0.8000,0.3466,0.3380,18.0223,0.0158,-1.0957,-0.4075,-0.2883
USDJPY=X,Conservador (Calmaria),0.2000,0.8000,0.0002,0.2396,1.5445,0.0001,0.0580,0.0037,-0.3266
CSAN3.SA,Híbrido,0.8000,1.2500,0.0135,0.2284,14.7827,0.0016,-0.2038,-0.1233,-0.8669
EURUSD=X,Híbrido,0.2500,1.1000,0.0003,0.1797,3.5357,0.0001,-0.0145,-0.0255,-0.2820
SHIB-USD,Conservador (Calmaria),0.8000,0.8000,0.1791,0.1784,23.1182,0.0137,0.5926,0.4347,-0.4382
^TNX,Conservador (Calmaria),0.7000,0.8000,0.0013,-0.1085,-26.7175,0.0002,0.1470,0.0154,-0.6793
ENEV3.SA,Híbrido,0.7000,1.2500,0.0034,-0.2143,-5.5282,0.0011,-0.0517,-0.1300,-0.9702
YDUQ3.SA,Híbrido,0.4000,1.1000,0.0116,-0.3319,-11.6067,0.0012,0.3314,0.0644,-0.8361
CVCB3.SA,Conservador (Calmaria),0.6000,0.8000,0.0122,-1.0228,-2.7115,0.0017,0.3397,0.0625,-0.7353
