ticker,data_ref,preco_atual,n_obs,missing_ratio,BB_Lower_200_0.45,BB_Lower_200_1.0,BB_Lower_200_1.5,BB_Lower_200_2.0,BB_Middle_200,BB_Upper_200_0.45,BB_Upper_200_1.0,BB_Upper_200_1.5,BB_Upper_200_2.0,Beta_60,Entropy_20,Entropy_Z,HalfLife_60,Hilbert_Lead,Hilbert_Period,Hilbert_Sine,Hilbert_Status,Hurst_72_returns,Hurst_Z,IFR_120,R2_60,SigmaResid_60,VolVol_20,VolVol_Z,WWMA_200,close,obtr,obtr_bb_lower_band_0_45,obtr_bb_lower_band_1_5,obtr_bb_lower_band_2_0,obtr_bb_middle_band,obtr_bb_upper_band_0_45,obtr_bb_upper_band_1_5,obtr_bb_upper_band_2_0,stoch_d_20_3_3,stoch_k_20_3,t_Beta_60,wad,wad_bb_lower_band_0_45,wad_bb_lower_band_1_5,wad_bb_lower_band_2_0,wad_bb_middle_band,wad_bb_upper_band_0_45,wad_bb_upper_band_1_5,wad_bb_upper_band_2_0
ABEV3.SA,2025-12-08,13.680000305175781,501,0.0,11.974480349962306,11.439920633726578,10.953957255330463,10.467993876934347,12.41184739051881,12.849214431075314,13.383774147311042,13.869737525707157,14.355700904103273,-0.012039918119891546,2.660964047443681,-0.485958775279679,34.30961849152067,0.9240609866190042,310.86180896910827,0.38312170928686845,Caótico,0.7464014129098614,1.1384960435375493,53.85000072905223,0.003035613651343305,0.012534842553713697,0.0002771077514977228,-0.603715175429119,12.41184739051881,13.680000305175781,2.0459620648588785,-0.48513613725164395,-2.1405761308247775,-2.9288808896691267,0.22433814570827038,0.9338124286681847,2.589252422241318,3.3775571810856673,65.20840704301422,53.04433527814862,-0.4274241448340333,-0.9355894163362102,-1.474271087971189,-2.6369817432069347,-3.190653483795385,-0.9759665214415839,-0.47766195491197866,0.685048700323767,1.2387204409122172
ALOS3.SA,2025-12-08,27.559999465942383,500,0.0,20.794701636878962,19.266490156970868,17.877206993418056,16.487923829865245,22.045056484076493,23.295411331274025,24.82362281118212,26.21290597473493,27.60218913828774,-0.03195978665281911,2.4211274733371866,-1.7904890433228524,21.339654348436603,0.8886329721478107,307.88060513196115,0.30406575435085254,Caótico,0.7338398080306505,1.069291824187053,58.142919222292214,0.014623101186083454,0.017131790354194043,0.0005518964760396301,1.1879554096701752,22.045056484076493,27.559999465942383,16.787422394688,0.18168981261169304,-6.928546672314955,-10.314373569899072,3.2289340204373986,6.276178228263104,13.386414713189751,16.772241610773868,78.08027589781983,60.2269698538515,-0.9436135737850789,12.540565411996536,1.04328953488627,-4.142686647243943,-6.612199114924998,3.265850755799219,5.488411976712168,10.674388158842381,13.143900626523436
ASAI3.SA,2025-12-08,8.34000015258789,501,0.0,8.650373067723338,7.608780856369371,6.661878846047583,5.714976835725794,9.502584877012948,10.354796686302558,11.396388897656525,12.343290907978314,13.290192918300102,-0.0964062979656295,2.665957320949175,-1.3482258743830091,6.837425461206278,-0.29708156823116555,129.1837304438521,-0.8852507897132975,Caótico,0.7358843164471555,1.3667426812261851,47.798695847796886,0.04822417172219429,0.03020118416809497,0.0011516964725965077,0.6303736640934139,9.502584877012948,8.34000015258789,-8.586960435588946,-9.440718182133056,-13.686914402048338,-15.708912602007995,-7.620919802169363,-5.801121422205671,-1.5549252022903879,0.4670729976692698,31.26148951622139,17.98002274029879,-1.74357518025662,-9.724334256721294,-8.987210816775061,-12.76583204143218,-14.565175481745094,-7.367801720493437,-5.748392624211815,-1.9697713995546948,-0.17042795924178034
AURE3.SA,2025-12-08,12.380000114440918,501,0.0,9.77097026755339,8.931330673288112,8.16802195122877,7.404713229169426,10.457948117406799,11.144925967260209,11.984565561525486,12.747874283584828,13.511183005644172,-0.04388898594695961,2.565957320949175,-1.4511292609530066,15.444026027122852,0.8126254715174211,279.0757718425852,0.16252085400756114,Caótico,0.49997157336396625,-1.006625349587728,54.64096653395092,0.014978410817255594,0.022046381652375817,0.0007350580898822503,0.6162429393505082,10.457948117406799,12.380000114440918,-2.62773449356916,-4.397364971202814,-6.332990517170604,-7.254716967631456,-3.567811165788047,-2.7382573603732805,-0.8026318144054909,0.1190946360553613,88.8113270708348,80.31497284969281,-0.9551808778141322,-4.304667073797275,-6.2182463768815275,-8.726163405642788,-9.920409609814818,-5.143424793126702,-4.068603209371876,-1.560686180610615,-0.3664399764385857
AZUL4.SA,2025-12-08,1.0099999904632568,501,0.0,2.046568552229278,-0.5740475958424618,-2.9564259122713166,-5.3388042287001705,4.190709037015247,6.334849521801216,8.955465669872956,11.33784398630181,13.720222302730665,-0.10728224004830227,2.739353872167201,0.10108173310267765,6.107841242098463,-0.228961403159635,28.100522072228472,0.5264226834568588,Subindo,0.7268165039255449,0.47224137766283225,41.334376954617134,0.05315505393532183,0.04526897490497423,0.000635099666361556,-1.032996909431918,4.190709037015247,1.0099999904632568,-23.829997956752777,-22.695574395687895,-30.188264230083373,-33.7562117702717,-19.484421609518407,-16.273268823348918,-8.78057898895344,-5.2126314487651175,46.6049250874505,42.59258339434531,-1.8353059563045822,-27.310003340244293,-25.10338764952811,-33.70844157668228,-37.80608630389855,-21.415507395033465,-17.72762714053882,-9.122573213384648,-5.024928486168374
B3SA3.SA,2025-12-08,14.350000381469727,501,0.0,11.850530425709977,11.098607995281052,10.415042149436575,9.731476303592096,12.465739686970007,13.080948948230038,13.832871378658963,14.51643722450344,15.200003070347918,-0.041290795869234544,2.665957320949175,-0.2644932209720598,16.437956652134737,0.879783390350316,302.73758321739155,0.2859600673250321,Caótico,0.5628940988354145,-1.0387429894424298,55.014532727534,0.016471849800026472,0.018490962387906464,0.0006474458668602306,1.0799226622594393,12.465739686970007,14.350000381469727,3.9238804414921855,-0.11201415917306501,-2.090574367417519,-3.0327458951529724,0.7359402157888437,1.5838945907507525,3.562454798995206,4.50462632673066,77.29977881284078,67.52137344307926,-1.0024285208479806,0.8358920353920656,-1.264984737958823,-2.9839241905008826,-3.8024667869494824,-0.5282964011550833,0.20839193564865666,1.9273313881907164,2.7458739846393163
BBAS3.SA,2025-12-08,21.719999313354492,501,0.0,22.169170582475385,20.839458808944357,19.630629923916146,18.42180103888794,23.257116579000773,24.34506257552616,25.674774349057188,26.8836032340854,28.092432119113607,-0.12484818510936196,2.5659573209491753,-0.5189335045482303,5.197645995265515,0.8645722739776164,335.085838445442,0.9666720790231809,Caótico,0.6812789657822188,0.36669252052422374,48.539002835492845,0.06474721769443659,0.01618971791796325,0.0004854543860659535,0.6538181021879962,23.257116579000773,21.719999313354492,-2.5601753893192765,-1.258966006546086,-4.401732489870237,-5.898287958119832,0.08793391487855017,1.434833836303186,4.577600319627337,6.074155787876933,44.05378924175982,31.287799525163564,-2.0380821067156734,-4.508891173861738,-2.7435651291804795,-6.220993305462928,-7.8769114846450465,-1.2532387679165728,0.23708759334733376,3.7145157696297826,5.370433948811901
BBDC3.SA,2025-12-08,15.649999618530273,501,0.0,11.918058593096829,10.793433974471867,9.771047957540084,8.7486619406083,12.838206008335433,13.758353423574038,14.882978042199,15.905364059130783,16.927750076062566,-0.06572018987415548,2.546439344671015,-0.6240103186562866,10.196444351863963,0.9241711143846515,326.62806531257115,0.3833879106281382,Caótico,0.5128207970603941,-0.6684694371658436,55.612717130748315,0.05285272553613496,0.014258007333587279,0.00025718399869653825,-0.9433104634262264,12.838206008335433,15.649999618530273,7.34693365323376,0.2322342058514073,-3.2794170398214755,-4.951631918713325,1.7372275968540716,3.2422209878567356,6.753872233529619,8.426087112421468,48.391356782475704,28.90393067225163,-1.8297871035196147,4.719949114287388,-0.3232096875471161,-3.071181033113704,-4.3797388167168405,0.8544923176957072,2.0321943229385306,4.780165668505118,6.088723452108256
BBDC4.SA,2025-12-08,18.25,501,0.0,13.54687975813621,12.092136966639302,10.769643519823932,9.447150073008562,14.737123860270044,15.927367962403878,17.382110753900786,18.704604200716155,20.027097647531527,-0.07159890917433812,2.546439344671015,-0.5364276160452994,9.330109596884324,0.9081455759989044,327.0981160332007,0.3461224402326094,Caótico,0.4844180512915569,-1.1359813505820426,55.58657681218725,0.05494472298879738,0.015391248554034162,0.00018873806627133015,-1.6196391117277094,14.737123860270044,18.25,9.297711477005143,1.1184685538597288,-3.273529309592774,-5.364956863617776,3.00075335248223,4.883038151104731,9.275036014557234,11.366463568582235,40.995742536480655,24.642396481613403,-1.8677124490553487,3.7948206823934374,-0.9763889260516385,-3.94308159762478,-5.35579239361199,0.2950507903368507,1.5664905067253398,4.533183178298482,5.945893974285692
BBSE3.SA,2025-12-08,35.5,501,0.0,30.9912190200514,29.226800297360263,27.62278327673196,26.018766256103653,32.434834338616874,33.87844965718235,35.642868379873484,37.24688540050179,38.850902421130094,-0.032900926243628004,2.708694969562842,-0.17244476572026463,20.71920428253721,0.9948327875554401,345.72944865831676,0.7752434162877011,Caótico,0.6309598321699643,-0.22723235497137234,53.51893497280801,0.006814438316082971,0.010165456194118105,0.00042247505970795685,1.921096828981413,32.434834338616874,35.5,21.22443514678846,10.43808381422933,4.5902357984025155,1.8055462670564122,12.944304392440824,15.450524970652317,21.29837298647913,24.083062517825233,87.7172969817489,85.26716636078164,-0.6416164039022412,10.169792987761074,5.396429418485988,1.929659134364627,0.27881614192588433,6.882188111680856,8.367946804875725,11.834717088997085,13.485560081435828
